donor_id,true_age,predicted_age,predicted_age_sd,n_cells,pseudocell_n
aida:IN_NIB_H020,29.0,51.03364701556236,8.395342616338462,83,100
aida:IN_NIB_H022,26.0,41.97736589630063,6.653798711713209,38,100
aida:IN_NIB_H021,24.0,44.9356344002071,6.56200848177705,84,100
aida:IN_NIB_H024,24.0,48.20139848932306,8.14129253655557,218,100
aida:IN_NIB_H019,25.0,53.43256961930967,7.425894478718338,51,100
aida:IN_NIB_H026,24.0,53.31270096909422,8.729683482047571,172,100
aida:IN_NIB_H030,27.0,46.24277300237352,9.880640520338426,76,100
aida:IN_NIB_H023,29.0,48.42613517157352,9.214714690305483,82,100
aida:IN_NIB_H031,22.0,53.10675405604723,8.267425049895905,127,100
aida:IN_NIB_H027,26.0,43.44394741219423,8.731451102036464,90,100
aida:LONZA3038016,21.0,30.678290267190064,8.771761602139364,1504,100
aida:IN_NIB_H025,30.0,41.129939106625955,8.352583172569362,82,100
aida:IN_NIB_H029,28.0,44.8865393866431,8.067265418454948,86,100
aida:IN_NIB_H028,31.0,39.22416678515088,9.214826117172409,64,100
aida:IN_NIB_H032,24.0,59.05965716938763,7.295492113761505,43,100
aida:IN_NIB_H033,22.0,38.511960092128795,9.009079818044025,35,100
aida:IN_NIB_H038,23.0,41.79171024732207,10.239491752563369,287,100
aida:IN_NIB_H040,30.0,39.5251610930279,7.874135664992882,101,100
aida:IN_NIB_H034,24.0,42.16782411728057,9.256025831446209,154,100
aida:IN_NIB_H041,28.0,29.25763508602173,9.317302092643397,200,100
aida:IN_NIB_H035,24.0,40.37449626658322,6.920857831633621,156,100
aida:IN_NIB_H043,25.0,33.5889051944601,9.25915167636741,131,100
aida:IN_NIB_H046,34.0,38.023851771413185,8.018099275560221,132,100
aida:IN_NIB_H045,27.0,39.8586124199076,9.706311443120637,185,100
aida:IN_NIB_H037,27.0,43.5263076504275,9.57798599783987,149,100
aida:IN_NIB_H036,26.0,45.42989832487383,7.6116331011415905,252,100
aida:IN_NIB_H047,28.0,39.42027740129774,9.32881755696166,178,100
aida:IN_NIB_H044,29.0,35.75715891010307,8.908162107841495,125,100
aida:IN_NIB_H039,26.0,34.338459372407634,9.863673144240629,109,100
aida:IN_NIB_H042,28.0,39.94498692296661,9.76002975298395,112,100
aida:IN_NIB_H048,30.0,40.9197435888295,7.383234109996094,43,100
aida:JP_RIK_H002,23.0,24.276042875279728,4.878828353299066,25,100
aida:JP_RIK_H008,43.0,42.365575125418815,6.764520411567299,9,100
aida:JP_RIK_H005,37.0,35.948041189564655,7.790582605502821,9,100
aida:JP_RIK_H012,49.0,21.47814728293374,7.3495173149541415,48,100
aida:JP_RIK_H014,47.0,20.45970229730027,8.320770545211792,62,100
