donor_id,true_age,predicted_age,predicted_age_sd,n_cells,pseudocell_n
aida:JP_RIK_H001,34.0,41.92357144503745,8.943870406240926,168,100
aida:JP_RIK_H011,31.0,44.652434878903726,7.1364131862428675,357,100
aida:LONZA3038016,21.0,47.98759659289445,8.74629943342102,5350,100
aida:JP_RIK_H010,46.0,47.08704305375581,9.053533643358003,440,100
aida:JP_RIK_H004,37.0,46.46619521174553,9.009101535056166,180,100
aida:JP_RIK_H005,37.0,45.174194538823784,7.875065941948549,159,100
aida:JP_RIK_H006,48.0,40.10746970304687,6.786575341070386,377,100
aida:JP_RIK_H014,47.0,38.56863478339011,8.191489088570789,254,100
aida:JP_RIK_H007,45.0,44.60178991083187,8.02241828022147,54,100
aida:JP_RIK_H013,24.0,41.78436647665841,7.719617613416524,662,100
aida:JP_RIK_H008,43.0,42.46216223091453,7.716611769790669,176,100
aida:JP_RIK_H002,23.0,41.29521524411862,8.039476188295433,315,100
aida:JP_RIK_H003,47.0,41.63238586939693,8.292582254720006,192,100
aida:JP_RIK_H009,26.0,54.42635668882078,7.575786041695569,365,100
aida:JP_RIK_H015,63.0,52.481478038342146,7.978634901873636,202,100
aida:JP_RIK_H012,49.0,45.69820525952127,8.705199080120815,336,100
aida:LONZA3038097,41.0,51.43430275403899,7.871603426226795,4688,100
aida:JP_RIK_H017,47.0,38.31783339605027,7.7350810748259375,473,100
aida:JP_RIK_H028,34.0,38.895970873995154,8.807422003363358,409,100
aida:JP_RIK_H019,21.0,42.054417593640956,8.626115168009155,346,100
aida:JP_RIK_H018,39.0,46.94067979932389,6.964579700400753,537,100
aida:JP_RIK_H026,45.0,32.09372735303597,9.292497845420092,270,100
aida:JP_RIK_H022,40.0,35.38833731316051,8.376661182793702,474,100
aida:JP_RIK_H029,28.0,39.08898723003852,8.601761157382905,513,100
aida:JP_RIK_H027,43.0,42.85670421943781,8.923755723436402,443,100
aida:JP_RIK_H020,45.0,35.75061833083279,8.331619341995978,412,100
aida:JP_RIK_H024,33.0,45.59708651687066,7.761865826574577,391,100
aida:JP_RIK_H030,46.0,40.39716883452421,6.98605003282261,195,100
aida:JP_RIK_H021,39.0,38.50790666352555,8.977061132809528,495,100
aida:JP_RIK_H025,35.0,31.94638190545481,8.099613136785937,283,100
aida:JP_RIK_H016,33.0,33.296256116546004,8.18033354029897,235,100
aida:JP_RIK_H023,27.0,44.85816688413085,8.967600924940216,96,100
aida:JP_RIK_H040,31.0,33.87961062113497,9.826869085226878,368,100
aida:JP_RIK_H042,32.0,29.605588293399002,9.880773452007901,641,100
aida:JP_RIK_H044,37.0,24.60853707455116,8.677801458435768,581,100
aida:JP_RIK_H031,30.0,31.34339247862801,9.820839809834645,396,100
aida:JP_RIK_H034,33.0,31.82419086608294,9.846815573959734,681,100
aida:JP_RIK_H045,31.0,28.792582021990935,10.033448228660864,808,100
aida:JP_RIK_H041,37.0,35.470730102038054,10.743912001041418,243,100
aida:LONZA3038099,23.0,44.97153420379196,9.990793841471456,6787,100
aida:JP_RIK_H032,34.0,31.781676488933186,10.80231606405179,540,100
aida:JP_RIK_H039,45.0,49.28496035652551,10.177948701723922,833,100
aida:JP_RIK_H037,31.0,32.87103684873123,9.508850330282973,379,100
aida:JP_RIK_H035,28.0,32.34380873247755,9.008569827743734,510,100
aida:JP_RIK_H036,41.0,39.43539868129858,8.563101793119468,368,100
aida:JP_RIK_H043,34.0,24.216478013876664,10.121047563840314,330,100
aida:JP_RIK_H038,31.0,22.06076379745501,8.110939050359518,270,100
aida:JP_RIK_H033,44.0,34.92537367135746,7.773404714927272,58,100
aida:JP_RIK_H052,36.0,31.07862751665712,9.196741525272762,584,100
aida:JP_RIK_H048,23.0,36.11509246571945,8.646545973877144,330,100
aida:JP_RIK_H057,32.0,34.29587574288512,8.55417904293058,464,100
aida:JP_RIK_H046,34.0,37.167808754496484,9.030323813237324,340,100
aida:JP_RIK_H050,34.0,39.57855170258281,9.51055826944897,511,100
aida:JP_RIK_H049,33.0,33.08742306094706,8.806428109250204,452,100
aida:JP_RIK_H054,37.0,24.37268703061818,9.377604437538714,416,100
aida:JP_RIK_H055,47.0,30.36677258556827,7.805499061507149,333,100
aida:JP_RIK_H051,36.0,46.39824725009842,7.059520574967873,262,100
aida:JP_RIK_H060,30.0,35.274219377681995,8.829964858279821,151,100
aida:JP_RIK_H059,43.0,28.95178124350087,8.543026745808149,361,100
aida:JP_RIK_H058,43.0,44.282623375949896,9.255723556296243,494,100
aida:JP_RIK_H053,30.0,28.92132699022207,8.314025092827245,327,100
aida:JP_RIK_H047,42.0,37.72484189964774,8.514484645890304,614,100
aida:JP_RIK_H056,25.0,34.83075615511544,8.154957075953714,364,100
aida:JP_RIK_H073,43.0,31.781266281309122,7.1714780549430355,442,100
aida:JP_RIK_H070,42.0,27.034311510148395,9.251140423868929,452,100
aida:JP_RIK_H064,46.0,37.094938492223356,8.003198338208804,287,100
aida:JP_RIK_H075,43.0,35.06545259894643,8.067605901203976,798,100
aida:JP_RIK_H071,48.0,35.19917450019373,8.238213852961687,743,100
aida:JP_RIK_H065,21.0,28.595809124000517,6.309072992019818,293,100
aida:JP_RIK_H067,26.0,31.629509265363954,6.601595835311901,356,100
aida:JP_RIK_H069,37.0,41.72999870226343,7.720860208951243,466,100
aida:JP_RIK_H068,33.0,28.217734549271746,7.87639458664883,278,100
aida:JP_RIK_H062,48.0,35.58213679442693,8.705015420137954,545,100
aida:JP_RIK_H061,34.0,33.32230009982833,9.09334158973028,444,100
aida:JP_RIK_H074,41.0,34.46760495279896,6.895918387277188,716,100
aida:JP_RIK_H072,44.0,30.668140718121172,8.015438894365747,365,100
aida:JP_RIK_H063,21.0,36.217570652366675,8.220366942618842,453,100
aida:JP_RIK_H066,22.0,31.37174878265252,8.727403770336863,384,100
aida:JP_RIK_H081,22.0,33.448358322127575,9.233315373226612,600,100
aida:JP_RIK_H087,26.0,33.22022741887954,8.775633098278528,772,100
