donor_id,true_age,predicted_age,predicted_age_sd,n_cells,pseudocell_n
683_684,78.0,73.65437664195092,6.201702920146111,351,100
684_685,75.0,83.85220839716735,6.008245984827308,376,100
690_691,68.0,65.44281491118312,6.117683619612411,133,100
691_692,66.0,67.08023020036183,6.818344531115337,232,100
685_686,75.0,76.88134251853279,6.535914895294226,573,100
688_689,66.0,60.21509939934429,7.946923314051937,262,100
687_688,63.0,61.918841252274845,8.47395165649016,270,100
689_690,59.0,56.85384379470268,6.783906982395339,229,100
693_694,88.0,78.1919549432596,6.713402157098716,117,100
686_687,69.0,76.72675042435588,6.947113203271065,155,100
692_693,62.0,61.0645428690589,7.016698377688374,359,100
682_683,73.0,67.79700300029451,4.894749280234191,66,100
831_832,68.0,68.14444469841953,6.2447695245629795,304,100
829_830,66.0,63.914137704751056,6.104189507372944,431,100
823_824,75.0,78.39529623867584,6.632855875373427,309,100
830_831,68.0,70.73716082478141,6.880681048694939,414,100
832_833,71.0,61.72603836522192,7.222211912674102,351,100
824_825,66.0,70.12965694605262,6.337114145763095,208,100
843_844,62.0,61.91630092279061,6.287409933658826,306,100
842_843,75.0,72.47869158443054,5.262901997906434,165,100
826_827,69.0,63.08235706763516,5.593511578755755,267,100
825_826,65.0,58.798857492369315,6.640898496914782,183,100
827_828,71.0,63.291444691767836,7.619007758328552,138,100
834_835,64.0,53.24431996059904,6.300282804997068,126,100
849_850,81.0,52.87102753679196,6.913573158703258,124,100
847_848,74.0,69.3988261734507,8.307679770548821,230,100
850_851,64.0,65.6286043597517,6.974542871444206,309,100
848_849,84.0,69.42149306361556,7.456863475537082,93,100
851_852,66.0,61.71322589656983,6.106793767819168,341,100
846_847,77.0,75.70254229393386,7.228051089580704,426,100
845_846,81.0,69.44992682025234,5.517891919046857,118,100
990_991,69.0,68.43636704543725,6.964508760634112,395,100
985_986,76.0,54.636558335033335,6.404350846443264,130,100
997_998,68.0,66.4964336012448,5.49977245775448,139,100
836_837,72.0,64.00599855994113,6.790788303487808,228,100
835_836,64.0,59.69654724708308,7.276560832234542,82,100
989_990,61.0,53.053742551172355,7.482747691030111,146,100
999_1000,62.0,60.61723602106881,5.737098348383737,192,100
992_993,63.0,70.98748290455119,6.492682901796915,214,100
812_813,51.0,45.352400862102265,7.564722463767035,122,100
995_996,71.0,67.82603051551285,5.769575799328403,328,100
811_812,50.0,57.28096549030229,7.2003403184771715,266,100
993_994,69.0,56.147220622584356,7.772995036151326,195,100
996_997,68.0,43.537157506318145,6.804593525109494,176,100
994_995,66.0,66.79026288327351,6.7443441286727035,358,100
986_987,69.0,57.21857803327231,8.033914212087875,123,100
991_992,76.0,74.52805369667192,8.052286565257868,287,100
998_999,71.0,68.92466943028829,7.75154580617574,221,100
810_811,77.0,59.3742539288248,7.612465437599467,161,100
852_853,65.0,50.01790871896606,7.327924017990639,113,100
854_855,74.0,62.964082631461366,8.152945829073762,196,100
855_856,22.0,33.09445140766323,6.6896473497462114,367,100
1004_1005,74.0,61.11305675882049,6.851097651892315,249,100
987_988,74.0,70.50741585702013,6.9489237943005815,261,100
857_858,59.0,62.622257695381535,6.200885155541421,241,100
856_857,60.0,54.83544984408873,7.805379211268733,334,100
1001_1002,57.0,57.890028938210506,6.493147901466469,203,100
1002_1003,73.0,59.750362548657016,6.327683117290596,124,100
859_860,46.0,57.75373543773814,6.973636358669423,187,100
858_859,53.0,38.49370165763684,6.706555017196265,313,100
1003_1004,58.0,59.542178174617185,7.625020889131192,251,100
