donor_id,true_age,predicted_age,predicted_age_sd,n_cells,pseudocell_n
terekhova:E07,80.0,56.98742635221519,7.66507789761679,324,100
terekhova:E13,79.0,52.5243818177545,8.336521282903202,1523,100
terekhova:E15,78.0,72.26889148085237,9.653564443709909,2543,100
terekhova:A20,27.0,54.51101794513869,8.405013052451286,2409,100
terekhova:A15,26.0,45.15128896951822,7.03227016351616,875,100
terekhova:A23,27.0,54.64216569371783,8.254285962214775,1987,100
terekhova:C01,53.0,52.144600368280926,7.816341756773417,783,100
terekhova:D01,58.0,75.48480631163203,8.736167516666196,883,100
terekhova:E01,72.0,57.82388488565447,9.682177445638088,956,100
terekhova:A02,29.0,56.47127563095166,7.431754595063394,1585,100
terekhova:A01,31.0,53.08946941388254,7.55666768027029,614,100
terekhova:B01,44.0,64.97225825835508,8.596649867241634,1432,100
terekhova:A03,34.0,50.8973451460057,6.978676759945903,1709,100
terekhova:D02,59.0,56.786191463219076,8.004473824673681,4707,100
terekhova:B03,37.0,55.22937560420447,9.444084777112996,707,100
terekhova:E02,75.0,55.90487758077733,7.81927626654741,820,100
terekhova:B05,44.0,45.94930321209767,9.022362153241016,1140,100
terekhova:C08,51.0,54.2806417202642,8.259739661929897,373,100
terekhova:C10,52.0,59.609912416601475,9.365572520766275,2524,100
terekhova:A04,31.0,57.34996095165391,9.182383107978433,3186,100
terekhova:D03,63.0,59.25024111864175,8.75203731861675,1945,100
terekhova:C09,55.0,53.102582183661525,8.035787452024076,2409,100
terekhova:B06,44.0,50.115084598875576,8.404125952048805,959,100
terekhova:E03,70.0,60.6267874716513,9.037778248404361,1062,100
terekhova:A05,30.0,52.54249467760954,8.63822277066501,914,100
terekhova:B08,44.0,52.96082060885229,9.41872305203695,1801,100
terekhova:D04,61.0,65.95252696953456,9.804180546640584,1789,100
terekhova:C11,51.0,53.61326926679489,8.46360536909253,2484,100
terekhova:D05,63.0,64.3869161826412,7.953602438355614,3118,100
terekhova:E04,70.0,51.62334810329851,8.385384346702303,2610,100
terekhova:B02,42.0,54.47585459417373,8.006962604589106,350,100
terekhova:E05,66.0,60.654349321968624,8.741565170688869,2156,100
terekhova:C02,53.0,50.49223883439444,8.217620308231076,119,100
terekhova:E06,66.0,59.886017552237234,9.36035955463835,1774,100
terekhova:C04,51.0,52.593940592143525,9.72461601151272,680,100
terekhova:B04,36.0,47.72577480348295,7.911856739359796,584,100
terekhova:E09,66.0,62.835980061634636,8.426564718576286,1017,100
terekhova:C06,46.0,53.712588922491726,9.651402052089002,322,100
terekhova:C05,49.0,57.84549447110014,9.620170970213305,1282,100
terekhova:FD01,58.0,51.72136062850727,7.582072058403265,933,100
terekhova:FA01,34.0,56.86676194564757,7.678573690508623,134,100
terekhova:FE01,80.0,62.21080209519131,7.8089855336045275,2529,100
terekhova:FA02,31.0,53.403140504475274,9.974557621924165,467,100
terekhova:C12,55.0,49.89477579565427,8.303656071388717,1351,100
terekhova:FD02,55.0,56.16976349809423,8.13515990417196,823,100
terekhova:FE02,79.0,63.42020967801185,9.882979208504691,2039,100
terekhova:C13,50.0,63.875344862283235,9.513091902428306,2596,100
terekhova:A06,28.0,52.53672598596786,8.811809294648254,431,100
terekhova:C15,49.0,46.95827328607011,9.030604593830205,1577,100
terekhova:FB01,44.0,48.78781779016501,8.452066685485844,1131,100
terekhova:C16,48.0,46.87557149461697,8.663023849824109,1000,100
terekhova:A07,30.0,47.58367490456392,6.814683064121126,1169,100
terekhova:FB02,39.0,61.81544282417329,8.295206388914108,339,100
terekhova:D06,60.0,54.4541021397392,8.550842954754897,1491,100
terekhova:C07,53.0,52.194117623039325,8.328572780481721,1277,100
terekhova:FB03,36.0,59.6165908967412,8.006973056481154,281,100
terekhova:FD03,60.0,61.81339202288621,8.410646411653099,971,100
terekhova:FD04,57.0,58.25186465165639,8.733703795432785,660,100
terekhova:A09,35.0,57.09943341009635,9.849281689804831,2512,100
terekhova:FE04,74.0,51.11759446559041,8.849047062453645,2484,100
terekhova:D08,63.0,70.10603797892996,8.521410758254943,2734,100
terekhova:E11,71.0,58.04849101219077,8.459567339131356,6329,100
terekhova:D09,61.0,56.81200434309347,8.660164257885198,1505,100
terekhova:E10,66.0,60.033402887228924,8.441557543453326,1615,100
terekhova:D11,62.0,58.458482135292364,7.638764475916139,1025,100
terekhova:A11,30.0,56.80355987693154,9.120720897543798,1972,100
terekhova:E12,80.0,47.20813368414053,6.9883084250879985,1174,100
terekhova:B09,36.0,46.955755704202126,6.670910443783269,879,100
terekhova:A08,28.0,47.62224939614473,8.570256526971619,926,100
terekhova:B10,44.0,48.32613389017462,9.061308601588387,1160,100
terekhova:B11,37.0,48.88658424102606,6.311207679830411,443,100
terekhova:FC01,52.0,36.87861233509407,9.067354776518254,365,100
terekhova:FA03,30.0,40.721330063486214,7.730483146240551,420,100
terekhova:FC02,49.0,55.6948682426731,8.44715531563194,724,100
terekhova:E14,71.0,58.57017148229888,9.138844950502666,2976,100
terekhova:E08,67.0,56.98148352699315,7.312160376933185,1637,100
terekhova:D13,59.0,57.6665441168205,8.24105951189388,1713,100
terekhova:FC03,53.0,50.297560633653184,7.464919154582158,614,100
terekhova:D12,63.0,61.289118850235255,9.033888266297891,2452,100
terekhova:D07,58.0,52.094299772762135,7.43341749365962,525,100
terekhova:B12,35.0,58.399685556499314,7.448373721734741,775,100
terekhova:A10,28.0,63.10028085389172,8.67404317995872,1107,100
terekhova:E16,70.0,56.27146015814628,9.252940936592049,3567,100
terekhova:B13,35.0,48.97149318201406,9.268826646029249,1775,100
terekhova:B14,38.0,55.59949559448487,7.7809410835560335,322,100
terekhova:A12,27.0,58.43558607943134,7.570821722070643,1197,100
terekhova:A13,33.0,58.34603546617944,10.50482872317714,1817,100
terekhova:C14,48.0,62.960598093013985,7.607831526599137,634,100
terekhova:B15,35.0,51.73360592241261,8.325988104691904,411,100
terekhova:FC04,51.0,52.8302664094156,7.945569407464851,210,100
terekhova:E18,66.0,62.06457912451137,9.32327029749116,2386,100
terekhova:A14,29.0,58.144643593118964,7.63963035991606,963,100
terekhova:E19,77.0,59.276520265156776,9.934499169684434,1092,100
terekhova:B16,44.0,48.33448799731363,7.655059737867437,1030,100
terekhova:D14,61.0,59.930339030462555,8.728829799491432,2066,100
terekhova:FB04,37.0,51.76471589492822,8.209637871971967,1168,100
terekhova:E20,74.0,59.48192397340852,9.382440626166373,1256,100
terekhova:D10,59.0,51.402291537830045,7.115805473379629,311,100
terekhova:A16,29.0,59.50023149871797,7.5273189471429545,613,100
terekhova:FB05,35.0,42.826272407467734,7.905064298859513,456,100
terekhova:E21,71.0,57.55975468949419,8.785465724463231,959,100
terekhova:A17,30.0,49.425729546183895,7.563476781710669,1186,100
terekhova:C17,54.0,54.54434245113303,9.682977050999854,966,100
terekhova:A18,29.0,46.48037002943471,8.401544361468643,2339,100
terekhova:C18,54.0,60.90631234908609,8.398843568081398,750,100
terekhova:FE03,73.0,58.28101308279748,8.527735408763965,1290,100
terekhova:A19,30.0,46.20206101651962,8.565020092849156,864,100
terekhova:FE05,73.0,45.55568627149524,7.581349871380673,169,100
terekhova:FB06,37.0,51.383382633705295,7.881903549030345,1383,100
terekhova:FC06,50.0,50.22248346006032,9.095875826347392,903,100
terekhova:D15,64.0,55.65960364157662,10.043346973696323,532,100
terekhova:FB07,36.0,42.05129858623094,7.191423103402032,195,100
terekhova:B17,40.0,57.25947550149129,9.571382592170334,2074,100
terekhova:D17,56.0,48.27202056140752,9.791364404062103,862,100
terekhova:B18,39.0,56.42139052794129,9.587778243462697,1692,100
terekhova:B20,41.0,50.01914835838109,8.131362713348418,2786,100
terekhova:D16,63.0,58.180938805292556,9.99331968259242,1271,100
terekhova:A22,29.0,54.66469391918019,7.5822812003491125,340,100
terekhova:E22,75.0,62.5190947862136,8.393183916845029,2229,100
terekhova:E23,71.0,72.78532892556848,9.511874829217387,3226,100
terekhova:A24,27.0,53.92354193739547,8.216083127465742,1565,100
terekhova:E24,72.0,69.38259948298737,7.981046526838748,1894,100
terekhova:B19,41.0,53.01075764190507,8.331300651555464,1106,100
terekhova:D18,63.0,55.49193198831378,9.918236178525747,219,100
terekhova:A25,34.0,56.23157461196891,7.946905242166803,353,100
terekhova:A26,28.0,62.19925997940745,8.720514484323907,3301,100
terekhova:A27,28.0,55.81444796453953,7.810745452986402,2468,100
terekhova:FD05,56.0,64.3900693455922,9.791148272220845,1134,100
terekhova:FD06,55.0,55.334256590715,6.687101928743178,346,100
terekhova:B21,35.0,52.75619340795047,9.712587454642007,823,100
terekhova:FA04,35.0,51.91573698443591,8.580482861617813,842,100
terekhova:E26,73.0,58.471725692898644,6.426549731088298,9,100
terekhova:E29,74.0,63.76490499564856,9.287265541899,1131,100
terekhova:B22,36.0,46.00119644795798,9.465006550402192,560,100
terekhova:E27,65.0,50.1305009899146,7.745143955613331,330,100
terekhova:E30,72.0,68.49225898762167,9.231524095035223,505,100
