donor_id,true_age,predicted_age
terekhova:A01,31.0,44.24592
terekhova:A02,29.0,44.50727
terekhova:A03,34.0,43.919533
terekhova:A04,31.0,47.296944
terekhova:A05,30.0,45.727203
terekhova:A06,28.0,49.63898
terekhova:A07,30.0,48.927284
terekhova:A08,28.0,48.393616
terekhova:A09,35.0,48.58748
terekhova:A10,28.0,48.599876
terekhova:A11,30.0,46.260445
terekhova:A12,27.0,50.36351
terekhova:A13,33.0,45.694794
terekhova:A14,29.0,46.83632
terekhova:A15,26.0,47.23906
terekhova:A16,29.0,48.219177
terekhova:A17,30.0,47.958588
terekhova:A18,29.0,48.84147
terekhova:A19,30.0,46.466324
terekhova:A20,27.0,50.12439
terekhova:A21,27.0,44.180832
terekhova:A22,29.0,53.02172
terekhova:A23,27.0,48.96566
terekhova:A24,27.0,51.49893
terekhova:A25,34.0,43.47844
terekhova:A26,28.0,48.683495
terekhova:A27,28.0,49.49789
terekhova:A28,25.0,45.786564
terekhova:A29,33.0,49.7163
terekhova:A30,33.0,51.862785
terekhova:A31,31.0,49.218513
terekhova:A33,31.0,48.17843
terekhova:A34,28.0,44.998356
terekhova:A35,33.0,47.486736
terekhova:A36,33.0,46.539566
terekhova:A37,26.0,50.142662
terekhova:A38,28.0,49.616524
terekhova:A40,30.0,50.302925
terekhova:A41,34.0,49.932316
terekhova:B01,44.0,44.87011
terekhova:B02,42.0,41.628654
terekhova:B03,37.0,47.254246
terekhova:B04,36.0,43.05207
terekhova:B05,44.0,46.317833
terekhova:B06,44.0,45.481712
terekhova:B08,44.0,46.52436
terekhova:B09,36.0,46.7662
terekhova:B10,44.0,48.512238
terekhova:B11,37.0,44.878983
terekhova:B12,35.0,43.01832
terekhova:B13,35.0,48.894623
terekhova:B14,38.0,51.253017
terekhova:B15,35.0,45.171463
terekhova:B16,44.0,46.85036
terekhova:B17,40.0,48.12185
terekhova:B18,39.0,47.1236
terekhova:B19,41.0,41.64347
terekhova:B20,41.0,46.038708
terekhova:B21,35.0,45.770622
terekhova:B22,36.0,44.776905
terekhova:B23,39.0,45.963333
terekhova:B24,36.0,44.45687
terekhova:C01,53.0,45.41803
terekhova:C02,53.0,37.249565
terekhova:C04,51.0,45.468674
terekhova:C05,49.0,42.61609
terekhova:C06,46.0,40.014187
terekhova:C07,53.0,47.8731
terekhova:C08,51.0,49.653656
terekhova:C09,55.0,45.82217
terekhova:C10,52.0,46.88875
terekhova:C11,51.0,44.204975
terekhova:C12,55.0,42.992462
terekhova:C13,50.0,49.263474
terekhova:C14,48.0,48.11777
terekhova:C15,49.0,45.184044
terekhova:C16,48.0,46.087494
terekhova:C17,54.0,46.74595
terekhova:C18,54.0,51.76809
terekhova:D01,58.0,44.369034
terekhova:D02,59.0,44.406887
terekhova:D03,63.0,44.76364
terekhova:D04,61.0,44.651695
terekhova:D05,63.0,47.6446
terekhova:D06,60.0,44.60623
terekhova:D07,58.0,47.48322
terekhova:D08,63.0,50.390415
terekhova:D09,61.0,49.37448
terekhova:D10,59.0,48.945595
terekhova:D11,62.0,48.163307
terekhova:D12,63.0,50.736046
terekhova:D13,59.0,46.81357
terekhova:D14,61.0,44.78305
terekhova:D15,64.0,37.91272
terekhova:D16,63.0,43.040634
terekhova:D17,56.0,43.71994
terekhova:D18,63.0,44.390484
terekhova:D19,61.0,45.696762
terekhova:D20,61.0,52.824276
terekhova:D21,62.0,48.660564
terekhova:D22,64.0,46.847496
terekhova:D23,64.0,45.138557
terekhova:D24,63.0,48.226135
terekhova:E01,72.0,46.099834
terekhova:E02,75.0,46.42382
terekhova:E03,70.0,44.201744
terekhova:E04,70.0,43.359962
terekhova:E05,66.0,45.263237
terekhova:E06,66.0,46.15271
terekhova:E07,80.0,49.882645
terekhova:E08,67.0,45.422955
terekhova:E09,66.0,45.989014
terekhova:E10,66.0,48.271584
terekhova:E11,71.0,47.44172
terekhova:E12,80.0,51.949265
terekhova:E13,79.0,47.360863
terekhova:E14,71.0,47.131195
terekhova:E15,78.0,43.34898
terekhova:E16,70.0,45.693684
terekhova:E18,66.0,46.16333
terekhova:E19,77.0,42.842484
terekhova:E20,74.0,45.813263
terekhova:E21,71.0,43.97306
terekhova:E22,75.0,50.165913
terekhova:E23,71.0,49.570328
terekhova:E24,72.0,48.97946
terekhova:E26,73.0,42.283936
terekhova:E27,65.0,51.026627
terekhova:E29,74.0,47.61334
terekhova:E30,72.0,46.886086
terekhova:FA01,34.0,46.170086
terekhova:FA02,31.0,48.287193
terekhova:FA03,30.0,49.152725
terekhova:FA04,35.0,46.76055
terekhova:FA05,27.0,43.029747
terekhova:FA06,33.0,49.194733
terekhova:FA07,30.0,45.22013
terekhova:FA08,26.0,45.62393
terekhova:FB01,44.0,43.7322
terekhova:FB02,39.0,49.150295
terekhova:FB03,36.0,48.318413
terekhova:FB04,37.0,47.63784
terekhova:FB05,35.0,42.544388
terekhova:FB06,37.0,44.412735
terekhova:FB07,36.0,40.07732
terekhova:FC01,52.0,45.464504
terekhova:FC02,49.0,47.891373
terekhova:FC03,53.0,44.790775
terekhova:FC04,51.0,48.621616
terekhova:FC06,50.0,43.863968
terekhova:FD01,58.0,44.04174
terekhova:FD02,55.0,48.82646
terekhova:FD03,60.0,46.877148
terekhova:FD04,57.0,45.557915
terekhova:FD05,56.0,48.18569
terekhova:FD06,55.0,46.93515
terekhova:FE01,80.0,46.48564
terekhova:FE02,79.0,47.00728
terekhova:FE03,73.0,45.47254
terekhova:FE04,74.0,41.931953
terekhova:FE05,73.0,40.611214
terekhova:FE06,78.0,49.761723
terekhova:FE07,71.0,48.57067
terekhova:FE08,68.0,47.1168
terekhova:FE09,76.0,47.026184
terekhova:FE10,69.0,45.08327
