donor_id,true_age,predicted_age
terekhova:A01,31.0,34.951794
terekhova:A02,29.0,47.65477
terekhova:A03,34.0,41.411392
terekhova:A04,31.0,48.836037
terekhova:A05,30.0,40.00399
terekhova:A06,28.0,41.398445
terekhova:A07,30.0,46.51207
terekhova:A08,28.0,42.266163
terekhova:A09,35.0,45.346962
terekhova:A10,28.0,42.306377
terekhova:A11,30.0,35.0597
terekhova:A12,27.0,43.88025
terekhova:A13,33.0,45.400284
terekhova:A14,29.0,43.370525
terekhova:A15,26.0,37.04435
terekhova:A16,29.0,45.0718
terekhova:A17,30.0,40.632305
terekhova:A18,29.0,29.56168
terekhova:A19,30.0,36.338936
terekhova:A20,27.0,24.538631
terekhova:A21,27.0,25.221062
terekhova:A22,29.0,41.33453
terekhova:A23,27.0,29.959032
terekhova:A24,27.0,34.44005
terekhova:A25,34.0,45.758347
terekhova:A26,28.0,39.923893
terekhova:A27,28.0,40.409554
terekhova:A28,25.0,28.391323
terekhova:A29,33.0,41.419426
terekhova:A30,33.0,38.95672
terekhova:A31,31.0,40.015377
terekhova:A33,31.0,38.379227
terekhova:A34,28.0,38.46073
terekhova:A35,33.0,43.27264
terekhova:A36,33.0,42.066452
terekhova:A37,26.0,37.252953
terekhova:A38,28.0,42.817623
terekhova:A40,30.0,32.61702
terekhova:A41,34.0,47.08064
terekhova:B01,44.0,50.717293
terekhova:B02,42.0,38.921658
terekhova:B03,37.0,51.741318
terekhova:B04,36.0,36.178185
terekhova:B05,44.0,43.497986
terekhova:B06,44.0,44.16527
terekhova:B08,44.0,45.187218
terekhova:B09,36.0,40.289005
terekhova:B10,44.0,40.765293
terekhova:B11,37.0,39.911446
terekhova:B12,35.0,39.929817
terekhova:B13,35.0,53.434578
terekhova:B14,38.0,49.260986
terekhova:B15,35.0,48.304306
terekhova:B16,44.0,40.027496
terekhova:B17,40.0,44.327133
terekhova:B18,39.0,41.91716
terekhova:B19,41.0,37.104645
terekhova:B20,41.0,44.511227
terekhova:B21,35.0,40.20153
terekhova:B22,36.0,36.812004
terekhova:B23,39.0,45.124588
terekhova:B24,36.0,41.0532
terekhova:C01,53.0,55.9474
terekhova:C02,53.0,46.72944
terekhova:C04,51.0,45.711517
terekhova:C05,49.0,51.822144
terekhova:C06,46.0,48.825226
terekhova:C07,53.0,47.863724
terekhova:C08,51.0,47.633476
terekhova:C09,55.0,53.369175
terekhova:C10,52.0,51.41701
terekhova:C11,51.0,36.354893
terekhova:C12,55.0,48.32177
terekhova:C13,50.0,47.27751
terekhova:C14,48.0,64.32324
terekhova:C15,49.0,44.087536
terekhova:C16,48.0,45.662025
terekhova:C17,54.0,44.81541
terekhova:C18,54.0,50.89569
terekhova:D01,58.0,61.63694
terekhova:D02,59.0,45.425217
terekhova:D03,63.0,52.147514
terekhova:D04,61.0,51.219925
terekhova:D05,63.0,54.902122
terekhova:D06,60.0,53.23976
terekhova:D07,58.0,48.738083
terekhova:D08,63.0,60.341396
terekhova:D09,61.0,62.244175
terekhova:D10,59.0,58.902756
terekhova:D11,62.0,55.854553
terekhova:D12,63.0,58.195953
terekhova:D13,59.0,47.408028
terekhova:D14,61.0,53.38939
terekhova:D15,64.0,46.696922
