donor_id,true_age,predicted_age
stephenson:C-8914,25.0,47.67372
stephenson:C-8928,55.0,46.200066
stephenson:C-8930,35.0,48.27922
stephenson:C-8936,55.0,51.701477
stephenson:C-8937,55.0,52.538895
stephenson:C-8938,25.0,53.15807
stephenson:C-8939,35.0,50.495728
stephenson:C-8940,35.0,53.206245
stephenson:C-8941,55.0,50.708084
stephenson:C-8942,35.0,48.814255
stephenson:C-8943,25.0,58.562286
stephenson:C-8946,45.0,51.69396
stephenson:CV0902,57.0,58.056404
stephenson:CV0904,38.0,57.273224
stephenson:CV0911,40.0,50.680733
stephenson:CV0915,44.0,51.621532
stephenson:CV0917,62.0,49.084103
stephenson:CV0926,70.0,53.3686
stephenson:CV0929,64.0,50.883247
stephenson:CV0934,21.0,48.67383
stephenson:CV0939,73.0,51.406654
stephenson:CV0940,63.0,55.069122
stephenson:CV0944,58.0,51.2958
stephenson:IVLPS-1,35.0,46.441574
stephenson:IVLPS-12,25.0,46.277443
stephenson:IVLPS-2,35.0,53.96479
stephenson:IVLPS-3,35.0,43.77658
stephenson:IVLPS-4,25.0,47.177475
stephenson:IVLPS-6,25.0,50.07119
