donor_id,true_age,predicted_age
stephenson:C-8914,25.0,56.94993
stephenson:C-8928,55.0,51.589424
stephenson:C-8930,35.0,53.605972
stephenson:C-8936,55.0,51.902435
stephenson:C-8937,55.0,57.49919
stephenson:C-8938,25.0,44.73449
stephenson:C-8939,35.0,52.836197
stephenson:C-8940,35.0,50.02913
stephenson:C-8941,55.0,53.596596
stephenson:C-8942,35.0,54.527054
stephenson:C-8943,25.0,45.27546
stephenson:C-8946,45.0,51.675354
stephenson:CV0902,57.0,53.02045
stephenson:CV0904,38.0,50.433952
stephenson:CV0911,40.0,55.22148
stephenson:CV0915,44.0,51.327194
stephenson:CV0917,62.0,52.71447
stephenson:CV0926,70.0,61.744034
stephenson:CV0929,64.0,52.95218
stephenson:CV0934,21.0,52.18946
stephenson:CV0939,73.0,56.441177
stephenson:CV0940,63.0,52.80879
stephenson:CV0944,58.0,46.700882
