donor_id,true_age,predicted_age
terekhova:A01,30.0,39.059166
terekhova:A02,29.0,43.915066
terekhova:A03,33.0,38.506
terekhova:A04,31.0,52.002502
terekhova:A05,30.0,40.553368
terekhova:A06,27.0,36.52552
terekhova:A07,31.0,42.922916
terekhova:A08,28.0,33.165207
terekhova:A09,35.0,40.060913
terekhova:A10,28.0,41.456493
terekhova:A11,28.0,28.931278
terekhova:A12,27.0,37.19937
terekhova:A13,34.0,43.167824
terekhova:A14,29.0,46.933006
terekhova:A15,25.0,43.305717
terekhova:A16,29.0,38.337776
terekhova:A17,31.0,44.521584
terekhova:A18,29.0,30.455456
terekhova:A19,31.0,37.831215
terekhova:A20,26.0,24.031746
terekhova:A21,27.0,38.32728
terekhova:A22,29.0,40.416756
terekhova:A23,27.0,41.848976
terekhova:A24,29.0,39.600815
terekhova:A25,34.0,42.60714
terekhova:A26,29.0,35.09691
terekhova:A27,29.0,40.363075
terekhova:A28,25.0,41.99025
terekhova:A29,34.0,39.0048
terekhova:A30,33.0,44.656605
terekhova:A31,31.0,52.49337
terekhova:A33,31.0,41.888023
terekhova:A34,28.0,27.326542
terekhova:A35,33.0,35.66237
terekhova:A36,33.0,40.81109
terekhova:A37,26.0,41.780937
terekhova:A38,28.0,37.07383
terekhova:A40,30.0,43.875195
terekhova:A41,34.0,50.228558
terekhova:B01,44.0,51.781013
terekhova:B02,42.0,45.789055
terekhova:B03,37.0,44.737778
terekhova:B04,36.0,33.13219
terekhova:B05,43.0,39.21954
terekhova:B06,44.0,49.47154
terekhova:B08,44.0,36.419136
terekhova:B09,36.0,38.211403
terekhova:B10,46.0,51.19966
terekhova:B11,37.0,36.7548
terekhova:B12,35.0,45.94373
terekhova:B13,38.0,59.997063
terekhova:B14,38.0,47.788567
terekhova:B15,35.0,44.227695
terekhova:B16,44.0,41.91912
terekhova:B17,38.0,35.360493
terekhova:B18,39.0,46.583725
terekhova:B19,41.0,40.958885
terekhova:B20,41.0,39.174965
terekhova:B21,35.0,41.896126
terekhova:B22,36.0,35.92135
terekhova:B23,39.0,38.569954
terekhova:B24,36.0,45.403687
terekhova:C01,53.0,45.789856
terekhova:C02,53.0,44.180668
terekhova:C04,51.0,50.067886
terekhova:C05,49.0,57.98073
terekhova:C06,46.0,50.253426
terekhova:C07,53.0,47.187275
terekhova:C08,51.0,64.6759
terekhova:C09,55.0,50.464035
terekhova:C10,52.0,58.225975
terekhova:C11,51.0,37.46176
terekhova:C12,55.0,45.540787
terekhova:C13,50.0,43.546806
terekhova:C14,48.0,60.76879
terekhova:C15,48.0,46.83956
terekhova:C16,49.0,54.92338
terekhova:C17,54.0,34.992252
terekhova:C18,54.0,50.095173
terekhova:D01,56.0,65.46265
terekhova:D02,59.0,42.666855
terekhova:D03,63.0,56.20787
terekhova:D04,61.0,53.491875
terekhova:D05,64.0,62.478397
terekhova:D06,60.0,57.73876
terekhova:D07,58.0,47.28968
terekhova:D08,63.0,61.49691
terekhova:D09,61.0,60.495796
terekhova:D10,59.0,66.38867
terekhova:D11,63.0,54.788074
terekhova:D12,63.0,56.365883
terekhova:D13,59.0,40.859447
terekhova:D14,60.0,45.817642
terekhova:D15,64.0,45.94117
terekhova:D16,63.0,58.10235
terekhova:D17,55.0,47.67827
terekhova:D18,63.0,52.98105
terekhova:D19,61.0,55.91593
terekhova:D20,61.0,46.259613
terekhova:D21,62.0,52.00187
terekhova:D22,64.0,49.089035
terekhova:D23,64.0,48.900177
terekhova:D24,63.0,53.617874
terekhova:E01,72.0,53.64261
terekhova:E02,75.0,63.737953
terekhova:E03,70.0,61.99288
terekhova:E04,69.0,59.87906
terekhova:E05,66.0,55.68328
terekhova:E06,66.0,63.069622
terekhova:E07,79.0,60.41626
terekhova:E08,67.0,54.966457
terekhova:E09,68.0,60.259285
terekhova:E10,66.0,43.35041
terekhova:E11,71.0,60.545708
terekhova:E12,80.0,60.728447
terekhova:E13,79.0,62.748238
terekhova:E14,71.0,59.91062
terekhova:E15,78.0,60.092407
terekhova:E16,70.0,59.510178
terekhova:E18,66.0,59.52235
terekhova:E19,77.0,58.450798
terekhova:E20,74.0,57.305145
terekhova:E21,71.0,56.19559
terekhova:E22,75.0,57.232914
terekhova:E23,71.0,64.8472
terekhova:E24,72.0,66.79637
terekhova:E26,73.0,63.326927
terekhova:E27,65.0,53.782402
terekhova:E29,74.0,55.0971
terekhova:E30,72.0,66.78937
terekhova:FA01,34.0,44.185852
terekhova:FA02,31.0,55.332035
terekhova:FA03,30.0,32.35282
terekhova:FA04,35.0,46.139908
terekhova:FA05,27.0,40.53784
terekhova:FA06,33.0,41.1968
terekhova:FA07,30.0,46.540043
terekhova:FA08,26.0,28.689098
terekhova:FB01,44.0,52.5038
terekhova:FB02,40.0,48.024513
terekhova:FB03,36.0,54.620007
terekhova:FB04,37.0,46.41104
terekhova:FB05,35.0,42.18931
terekhova:FB06,37.0,37.012535
terekhova:FB07,36.0,40.522697
terekhova:FC01,52.0,40.37977
terekhova:FC02,49.0,39.343918
terekhova:FC03,53.0,52.64846
terekhova:FC04,51.0,42.926147
terekhova:FC06,50.0,38.90189
terekhova:FD01,58.0,62.084843
terekhova:FD02,55.0,48.479126
terekhova:FD03,60.0,48.9935
terekhova:FD04,57.0,47.532673
terekhova:FD05,56.0,50.04079
terekhova:FD06,55.0,48.618942
terekhova:FE01,80.0,62.51657
terekhova:FE02,79.0,62.442627
terekhova:FE03,73.0,57.152897
terekhova:FE04,74.0,41.928444
terekhova:FE05,73.0,42.509308
terekhova:FE06,78.0,59.44107
terekhova:FE07,71.0,61.17858
terekhova:FE08,68.0,45.938828
terekhova:FE09,76.0,65.279205
terekhova:FE10,69.0,63.03476
