donor_id,true_age,predicted_age
terekhova:A01,31.0,56.594017
terekhova:A02,29.0,57.97239
terekhova:A03,34.0,51.64501
terekhova:A04,31.0,55.397163
terekhova:A05,30.0,52.567406
terekhova:A06,28.0,55.928017
terekhova:A07,30.0,50.34905
terekhova:A08,28.0,49.26902
terekhova:A09,35.0,50.64554
terekhova:A10,28.0,54.755466
terekhova:A11,30.0,46.475155
terekhova:A12,27.0,49.438446
terekhova:A13,33.0,50.1334
terekhova:A14,29.0,47.141987
terekhova:A15,26.0,45.496037
terekhova:A16,29.0,52.206657
terekhova:A17,30.0,44.50238
terekhova:A18,29.0,48.890358
terekhova:A19,30.0,49.485992
terekhova:A20,27.0,51.661377
terekhova:A21,27.0,47.2213
terekhova:A22,29.0,59.6689
terekhova:A23,27.0,56.5101
terekhova:A24,27.0,61.775177
terekhova:A25,34.0,46.845
terekhova:A26,28.0,56.228416
terekhova:A27,28.0,54.842445
terekhova:A28,25.0,46.67617
terekhova:A29,33.0,54.91851
terekhova:A30,33.0,54.5647
terekhova:A31,31.0,58.106766
terekhova:A33,31.0,51.39968
terekhova:A34,28.0,46.64542
terekhova:A35,33.0,47.284885
terekhova:A36,33.0,55.28882
terekhova:A37,26.0,50.16945
terekhova:A38,28.0,55.307037
terekhova:A40,30.0,54.252953
terekhova:A41,34.0,53.77673
terekhova:B01,44.0,50.87102
terekhova:B02,42.0,49.795273
terekhova:B03,37.0,57.04959
terekhova:B04,36.0,48.04574
terekhova:B05,44.0,56.350994
terekhova:B06,44.0,56.13885
terekhova:B08,44.0,54.90079
terekhova:B09,36.0,44.10012
terekhova:B10,44.0,56.835133
terekhova:B11,37.0,50.83158
terekhova:B12,35.0,52.77397
terekhova:B13,35.0,56.837708
terekhova:B14,38.0,50.71154
terekhova:B15,35.0,55.22296
terekhova:B16,44.0,53.697662
terekhova:B17,40.0,50.260437
terekhova:B18,39.0,55.274235
terekhova:B19,41.0,45.635784
terekhova:B20,41.0,53.33503
terekhova:B21,35.0,47.022972
terekhova:B22,36.0,56.73218
terekhova:B23,39.0,48.98372
terekhova:B24,36.0,46.86959
terekhova:C01,53.0,48.65217
terekhova:C02,53.0,54.241898
terekhova:C04,51.0,52.053974
terekhova:C05,49.0,61.238335
terekhova:C06,46.0,58.911205
terekhova:C07,53.0,52.139782
terekhova:C08,51.0,52.127674
terekhova:C09,55.0,56.020504
terekhova:C10,52.0,61.15492
terekhova:C11,51.0,51.57126
terekhova:C12,55.0,58.385494
terekhova:C13,50.0,54.26037
terekhova:C14,48.0,57.88392
terekhova:C15,49.0,51.437477
terekhova:C16,48.0,51.366005
terekhova:C17,54.0,52.565903
terekhova:C18,54.0,61.11574
terekhova:D01,58.0,62.970505
terekhova:D02,59.0,58.119835
terekhova:D03,63.0,62.403362
terekhova:D04,61.0,58.09469
terekhova:D05,63.0,57.767113
terekhova:D06,60.0,57.066986
terekhova:D07,58.0,49.74243
terekhova:D08,63.0,57.384285
terekhova:D09,61.0,52.79958
terekhova:D10,59.0,45.775642
terekhova:D11,62.0,58.466675
terekhova:D12,63.0,47.637268
terekhova:D13,59.0,47.67749
terekhova:D14,61.0,54.366665
terekhova:D15,64.0,50.484024
terekhova:D16,63.0,55.731613
terekhova:D17,56.0,54.141438
terekhova:D18,63.0,57.887077
terekhova:D19,61.0,52.054497
terekhova:D20,61.0,52.923058
terekhova:D21,62.0,51.511765
terekhova:D22,64.0,53.376007
terekhova:D23,64.0,49.16042
terekhova:D24,63.0,54.660923
terekhova:E01,72.0,48.65152
terekhova:E02,75.0,64.047104
terekhova:E03,70.0,56.77073
terekhova:E04,70.0,55.889935
terekhova:E05,66.0,58.577225
terekhova:E06,66.0,54.73084
terekhova:E07,80.0,64.71257
terekhova:E08,67.0,50.611954
terekhova:E09,66.0,53.799927
terekhova:E10,66.0,52.848103
terekhova:E11,71.0,55.309807
terekhova:E12,80.0,55.954185
terekhova:E13,79.0,56.753975
terekhova:E14,71.0,57.725548
terekhova:E15,78.0,53.45021
terekhova:E16,70.0,55.486275
terekhova:E18,66.0,49.73672
terekhova:E19,77.0,52.58094
terekhova:E20,74.0,55.624935
terekhova:E21,71.0,56.25367
terekhova:E22,75.0,60.827618
terekhova:E23,71.0,55.560818
terekhova:E24,72.0,62.859375
terekhova:E26,73.0,53.668724
terekhova:E27,65.0,56.942146
terekhova:E29,74.0,51.15256
terekhova:E30,72.0,64.44515
terekhova:FA01,34.0,46.843967
terekhova:FA02,31.0,49.561283
terekhova:FA03,30.0,48.55882
terekhova:FA04,35.0,49.86837
terekhova:FA05,27.0,50.846893
terekhova:FA06,33.0,49.240906
terekhova:FA07,30.0,49.410206
terekhova:FA08,26.0,47.304596
terekhova:FB01,44.0,50.217926
terekhova:FB02,39.0,51.372314
terekhova:FB03,36.0,51.927963
terekhova:FB04,37.0,49.1022
terekhova:FB05,35.0,44.293854
terekhova:FB06,37.0,52.438297
terekhova:FB07,36.0,51.81447
terekhova:FC01,52.0,49.607193
terekhova:FC02,49.0,50.622467
terekhova:FC03,53.0,49.805515
terekhova:FC04,51.0,45.16891
terekhova:FC06,50.0,59.293938
terekhova:FD01,58.0,47.634033
terekhova:FD02,55.0,58.79827
terekhova:FD03,60.0,50.70356
terekhova:FD04,57.0,54.62404
terekhova:FD05,56.0,56.138283
terekhova:FD06,55.0,52.896984
terekhova:FE01,80.0,51.695564
terekhova:FE02,79.0,58.0606
terekhova:FE03,73.0,49.76725
terekhova:FE04,74.0,53.893097
terekhova:FE05,73.0,47.244884
terekhova:FE06,78.0,60.200203
terekhova:FE07,71.0,53.45021
terekhova:FE08,68.0,55.525
terekhova:FE09,76.0,57.015198
terekhova:FE10,69.0,54.178963
