"donor_id","true_age","predicted_age","n_cells_aggregated"
"aida:JP_RIK_H001",34,59.6586715342572,19
"aida:JP_RIK_H002",23,22.9659257272589,310
"aida:JP_RIK_H003",47,46.5678197186729,217
"aida:JP_RIK_H004",37,48.9407506504897,97
"aida:JP_RIK_H005",37,22.5410544115251,220
"aida:JP_RIK_H006",48,50.909323819245,269
"aida:JP_RIK_H007",45,30.2464984611134,9
"aida:JP_RIK_H008",43,47.0771624278575,259
"aida:JP_RIK_H009",26,12.7533594514643,150
"aida:JP_RIK_H010",46,44.6600195414668,425
"aida:JP_RIK_H011",31,30.7171687413697,431
"aida:JP_RIK_H012",49,53.916819630431,273
"aida:JP_RIK_H013",24,43.4116696657118,222
"aida:JP_RIK_H014",47,27.1400752451415,381
"aida:JP_RIK_H015",63,53.639862533164,326
"aida:JP_RIK_H016",33,35.4613913264043,527
"aida:JP_RIK_H017",47,26.8598843250015,697
"aida:JP_RIK_H018",39,32.9610207473306,368
"aida:JP_RIK_H019",21,24.0514811640055,670
"aida:JP_RIK_H020",45,45.0932804117355,516
"aida:JP_RIK_H021",39,32.6660296619947,498
"aida:JP_RIK_H022",40,31.8052184871225,663
"aida:JP_RIK_H023",27,39.2493427641919,121
"aida:JP_RIK_H024",33,28.1971646046091,656
"aida:JP_RIK_H025",35,31.0758568351416,758
"aida:JP_RIK_H026",45,29.0755705638839,804
"aida:JP_RIK_H027",43,30.0563778217462,632
"aida:JP_RIK_H028",34,25.5919979389727,671
"aida:JP_RIK_H029",28,22.8068036170521,609
"aida:JP_RIK_H030",46,39.1719077324071,663
"aida:JP_RIK_H031",30,35.2862369610779,760
"aida:JP_RIK_H032",34,21.2476585915828,911
"aida:JP_RIK_H033",44,33.865698763957,997
"aida:JP_RIK_H034",33,37.307621476489,644
"aida:JP_RIK_H035",28,31.6526181794183,509
"aida:JP_RIK_H036",41,20.0372383389222,633
"aida:JP_RIK_H037",31,27.9470570632925,546
"aida:JP_RIK_H038",31,30.5617111325638,895
"aida:JP_RIK_H039",45,30.586544945452,758
"aida:JP_RIK_H040",31,22.90195996017,676
"aida:JP_RIK_H041",37,32.9438643417714,641
"aida:JP_RIK_H042",32,37.9932025147133,685
"aida:JP_RIK_H043",34,38.4694140247436,735
"aida:JP_RIK_H044",37,33.321995755975,638
"aida:JP_RIK_H045",31,42.3111758056055,579
"aida:JP_RIK_H046",34,20.7700061924845,468
"aida:JP_RIK_H047",42,42.6993666209999,656
"aida:JP_RIK_H048",23,26.7458524254013,660
"aida:JP_RIK_H049",33,15.9140747241486,747
"aida:JP_RIK_H050",34,23.7789922939577,683
"aida:JP_RIK_H051",36,27.5666806228039,654
"aida:JP_RIK_H052",36,27.9076603328023,504
"aida:JP_RIK_H053",30,19.0963453904898,496
"aida:JP_RIK_H054",37,19.6188245026775,796
"aida:JP_RIK_H055",47,21.6325725439453,525
"aida:JP_RIK_H056",25,35.2109800702872,558
"aida:JP_RIK_H057",32,14.0224726699752,737
"aida:JP_RIK_H058",43,40.0185703960531,709
"aida:JP_RIK_H059",43,10.000766567556,660
"aida:JP_RIK_H060",30,26.429826551213,741
"aida:JP_RIK_H061",34,25.747261055395,799
"aida:JP_RIK_H062",48,34.7734569168088,679
"aida:JP_RIK_H063",21,16.9606030217797,514
"aida:JP_RIK_H064",46,39.2910505184153,657
"aida:JP_RIK_H065",21,19.9592099499612,885
"aida:JP_RIK_H066",22,27.5500335159186,659
"aida:JP_RIK_H067",26,18.4374917520759,990
"aida:JP_RIK_H068",33,39.4185351965466,631
"aida:JP_RIK_H069",37,46.3329763113666,711
"aida:JP_RIK_H070",42,33.4099690993305,719
"aida:JP_RIK_H071",48,38.2780706079072,612
"aida:JP_RIK_H072",44,34.1322812644027,806
"aida:JP_RIK_H073",43,46.3147840011289,820
"aida:JP_RIK_H074",41,43.0478879208935,655
"aida:JP_RIK_H075",43,30.1345270416229,529
"aida:JP_RIK_H076",32,30.6887641228502,693
"aida:JP_RIK_H077",21,22.06069110776,665
"aida:JP_RIK_H078",26,19.0887184054795,745
"aida:JP_RIK_H079",23,13.0212278511971,659
"aida:JP_RIK_H080",22,19.3824741069887,700
"aida:JP_RIK_H081",22,24.4964782515579,660
"aida:JP_RIK_H082",65,55.3829153600627,587
"aida:JP_RIK_H083",36,33.9754412374995,710
"aida:JP_RIK_H084",33,29.3893864614733,900
"aida:JP_RIK_H085",21,25.2234741854988,672
"aida:JP_RIK_H086",33,39.3752379963351,759
"aida:JP_RIK_H087",26,14.7648421418194,554
"aida:JP_RIK_H088",49,40.5623468238757,859
"aida:JP_RIK_H089",48,40.0841395655711,855
"aida:JP_RIK_H090",40,29.5073087044831,677
"aida:JP_RIK_H091",31,21.1072290111882,816
"aida:JP_RIK_H092",44,39.1595536744517,550
"aida:JP_RIK_H093",43,42.5192344633115,757
"aida:JP_RIK_H094",22,25.239191963051,487
"aida:JP_RIK_H095",22,19.7072610694245,865
"aida:JP_RIK_H096",47,49.1338668771908,713
"aida:JP_RIK_H097",44,49.7034206341843,505
"aida:JP_RIK_H098",24,17.8110686992924,538
"aida:JP_RIK_H099",23,12.2764980796476,722
"aida:JP_RIK_H100",21,16.4935050580233,699
"aida:JP_RIK_H101",45,32.0272921099655,794
"aida:JP_RIK_H102",42,46.0052682046363,481
"aida:JP_RIK_H103",32,27.6074215140693,608
"aida:JP_RIK_H104",46,32.2248738833619,425
"aida:JP_RIK_H105",26,25.2233731874617,661
"aida:JP_RIK_H106",35,34.4198791226305,366
"aida:JP_RIK_H107",37,40.7118192267505,739
"aida:JP_RIK_H108",49,51.7528411480588,759
"aida:JP_RIK_H109",28,21.7284273928292,663
"aida:JP_RIK_H110",26,21.4188057026258,312
"aida:JP_RIK_H111",29,29.4161359735638,727
"aida:JP_RIK_H112",32,18.0082929386948,735
"aida:JP_RIK_H113",33,30.2311470356745,815
"aida:JP_RIK_H114",37,35.4616585872948,637
"aida:JP_RIK_H115",30,28.3357576667971,332
"aida:JP_RIK_H116",33,32.556646314529,695
"aida:JP_RIK_H117",31,35.8650266788514,661
"aida:JP_RIK_H118",22,24.6989208767889,650
"aida:JP_RIK_H119",37,34.5850670008863,567
"aida:JP_RIK_H120",43,27.9702933501242,551
"aida:JP_RIK_H121",39,24.742854778499,347
"aida:JP_RIK_H122",37,25.8243739739133,576
"aida:JP_RIK_H123",32,23.0296222314312,708
"aida:JP_RIK_H124",45,35.0484775676949,450
"aida:JP_RIK_H125",35,20.0110911316428,337
"aida:JP_RIK_H126",21,30.3871763081219,288
"aida:JP_RIK_H127",22,18.9414872834449,270
"aida:JP_RIK_H128",44,58.6335172733538,233
"aida:JP_RIK_H129",33,25.7524034393829,365
"aida:JP_RIK_H130",46,35.4358108392276,766
"aida:JP_RIK_H131",23,18.1469186384617,492
"aida:JP_RIK_H132",43,41.7485312708395,547
"aida:JP_RIK_H133",21,26.2976813824302,398
"aida:JP_RIK_H134",33,34.1774481827552,507
"aida:JP_RIK_H135",47,39.6027928744497,319
"aida:JP_RIK_H136",40,60.8062391580576,372
"aida:JP_RIK_H137",28,26.3221328437314,692
"aida:JP_RIK_H138",43,44.3819714349443,410
"aida:JP_RIK_H139",48,41.3170792840494,939
"aida:JP_RIK_H140",37,41.5212695231661,747
"aida:JP_RIK_H141",49,50.6877326066127,975
"aida:JP_RIK_H142",29,44.4142314619532,637
"aida:JP_RIK_H143",38,31.04580452155,523
"aida:JP_RIK_H144",45,35.7530013682005,884
"aida:JP_RIK_H145",41,36.2567084658453,534
"aida:JP_RIK_H146",21,24.9995513651734,522
"aida:JP_RIK_H147",26,37.8719848158653,783
"aida:JP_RIK_H148",43,37.0601891843483,559
"aida:JP_RIK_H149",21,16.5433762329394,584
"aida:KR_SGI_H001",41,43.0089769066846,605
"aida:KR_SGI_H002",26,33.4974552388657,480
"aida:KR_SGI_H003",48,54.9705419353872,474
"aida:KR_SGI_H004",38,41.5750153683863,262
"aida:KR_SGI_H005",34,41.8387055281656,471
"aida:KR_SGI_H006",27,38.8689693595769,358
"aida:KR_SGI_H007",30,42.2097110965475,530
"aida:KR_SGI_H008",33,41.1699483690348,1031
"aida:KR_SGI_H009",31,36.5300677823061,635
"aida:KR_SGI_H010",36,47.8447600070899,692
"aida:KR_SGI_H011",28,28.1401608731631,589
"aida:KR_SGI_H012",31,38.9223747879298,864
"aida:KR_SGI_H013",40,44.8892246178231,598
"aida:KR_SGI_H014",29,40.8147241500147,461
"aida:KR_SGI_H015",34,32.2804690642651,581
"aida:KR_SGI_H016",47,53.0547801419906,751
"aida:KR_SGI_H017",28,28.3413437503717,604
"aida:KR_SGI_H018",27,33.4605571764595,644
