"donor_id","true_age","predicted_age","n_cells_aggregated"
"stephenson:C-8914",25,45.5960854188101,319
"stephenson:C-8928",55,43.604813136667,726
"stephenson:C-8930",35,41.5381271553645,501
"stephenson:C-8936",55,49.8997974195752,1413
"stephenson:C-8937",55,56.1516603542097,669
"stephenson:C-8938",25,34.825955003308,424
"stephenson:C-8939",35,36.4145740840927,796
"stephenson:C-8940",35,48.7463877513708,1233
"stephenson:C-8941",55,45.742767330003,351
"stephenson:C-8942",35,30.6973035615615,1436
"stephenson:C-8943",25,19.7841170793675,674
"stephenson:C-8946",45,60.1849428722425,1875
"stephenson:CV0902",57,30.8903769159178,926
"stephenson:CV0904",38,39.6429973166517,784
"stephenson:CV0911",40,38.8918840399809,614
"stephenson:CV0915",44,41.9511996968934,250
"stephenson:CV0917",62,60.0430646088711,221
"stephenson:CV0926",70,42.3970559043624,397
"stephenson:CV0929",64,40.4270145128726,95
"stephenson:CV0934",21,45.1606481587427,226
"stephenson:CV0939",73,41.0580304876449,197
"stephenson:CV0940",63,32.7420226953366,253
"stephenson:CV0944",58,50.7224229995814,159
"stephenson:IVLPS-1",35,50.3077285490288,201
"stephenson:IVLPS-12",25,44.4615911041612,112
"stephenson:IVLPS-2",35,44.2719598088469,612
"stephenson:IVLPS-3",35,57.4015998111146,71
"stephenson:IVLPS-4",25,58.7027570144305,70
"stephenson:IVLPS-6",25,50.8384155200372,279
