"donor_id","true_age","predicted_age","n_cells_aggregated"
"terekhova:A01",31,72.0453214991002,1429
"terekhova:A02",29,65.6599730727355,2061
"terekhova:A03",34,65.0351044102063,3989
"terekhova:A04",31,62.0522785315734,3191
"terekhova:A05",30,75.3081270676253,2069
"terekhova:A06",28,47.2014874003612,199
"terekhova:A07",30,56.8471781568408,2967
"terekhova:A08",28,64.4140192026943,1466
"terekhova:A09",35,69.4645172811795,2911
"terekhova:A10",28,67.9179012660723,1323
"terekhova:A11",30,70.8287524106322,3007
"terekhova:A12",27,71.8321760349416,2066
"terekhova:A13",33,76.6788730217663,3624
"terekhova:A14",29,58.3100963995867,2075
"terekhova:A15",26,61.851244365302,2749
"terekhova:A16",29,72.6048704062846,1014
"terekhova:A17",30,56.5324980163156,1106
"terekhova:A18",29,67.9580723296131,2267
"terekhova:A19",30,68.1514833331304,2162
"terekhova:A20",27,68.2068723861361,2566
"terekhova:A21",27,71.5356815275838,1798
"terekhova:A22",29,56.1309576754051,644
"terekhova:A23",27,67.1827313081844,3207
"terekhova:A24",27,61.499595370125,2322
"terekhova:A25",34,71.8430866032965,810
"terekhova:A26",28,63.3918604792274,2058
"terekhova:A27",28,63.5499945850091,5752
"terekhova:A28",25,59.0060390755857,2145
"terekhova:A29",33,57.4842050544842,3590
"terekhova:A30",33,65.1057899963195,783
"terekhova:A31",31,64.6692707034765,5227
"terekhova:A33",31,68.1189066651472,1669
"terekhova:A34",28,62.2123561751681,1370
"terekhova:A35",33,68.6567867335635,1574
"terekhova:A36",33,59.2651621709981,1333
"terekhova:A37",26,54.0360033213183,726
"terekhova:A38",28,64.9962892545103,3511
"terekhova:A40",30,61.7046006229744,302
"terekhova:A41",34,74.9806384260816,1697
"terekhova:B01",44,71.9446271223937,1477
"terekhova:B02",42,60.3596910974676,582
"terekhova:B03",37,71.7890422249556,1358
"terekhova:B04",36,65.4155398213342,1120
"terekhova:B05",44,74.1546509642747,1251
"terekhova:B06",44,68.2674985945769,2322
"terekhova:B08",44,81.1151060303701,2335
"terekhova:B09",36,73.9507451096589,502
"terekhova:B10",44,73.0368102047176,1929
"terekhova:B11",37,69.2988058949175,1814
"terekhova:B12",35,66.6656388288452,1981
"terekhova:B13",35,72.1788676044681,4503
"terekhova:B14",38,74.2514541727254,1638
"terekhova:B15",35,66.9756231457905,737
"terekhova:B16",44,68.4496117261211,1530
"terekhova:B17",40,68.4737422147922,2939
"terekhova:B18",39,70.5710518803806,4217
"terekhova:B19",41,72.2076908381631,1823
"terekhova:B20",41,70.0750460350729,2288
"terekhova:B21",35,70.6790907114514,1085
"terekhova:B22",36,68.5278804891114,2704
"terekhova:B23",39,64.7991640362128,1035
"terekhova:B24",36,63.9296588081365,1039
"terekhova:C01",53,71.0664020721014,2747
"terekhova:C02",53,69.8836938681198,414
"terekhova:C04",51,79.857563343239,908
"terekhova:C05",49,76.9106452905836,4460
"terekhova:C06",46,81.408827641034,491
"terekhova:C07",53,68.5564669709461,3581
"terekhova:C08",51,72.6801072244242,1570
"terekhova:C09",55,79.2025988257008,2157
"terekhova:C10",52,73.7379900478768,4642
"terekhova:C11",51,73.1316918151655,3010
"terekhova:C12",55,75.1883122879693,2735
"terekhova:C13",50,65.3818983176748,2852
"terekhova:C14",48,87.1256333258663,668
"terekhova:C15",49,68.9685677406387,2410
"terekhova:C16",48,69.6102644655007,4968
"terekhova:C17",54,63.3953103018355,1038
"terekhova:C18",54,58.4477966821264,905
"terekhova:D01",58,79.5307086739179,4154
"terekhova:D02",59,73.944361588613,3524
"terekhova:D03",63,75.4494704301792,1806
"terekhova:D04",61,70.2857137375679,1718
"terekhova:D05",63,69.7700717054418,1785
"terekhova:D06",60,73.2572221601833,1676
"terekhova:D07",58,74.4989069112959,743
"terekhova:D08",63,68.1732351974417,2991
"terekhova:D09",61,68.153808194845,2521
"terekhova:D10",59,52.4009401697914,429
"terekhova:D11",62,69.5340993783982,2352
"terekhova:D12",63,74.6406653514544,3449
"terekhova:D13",59,69.424934417513,1827
"terekhova:D14",61,70.6482071226706,2501
"terekhova:D15",64,83.6829263433267,1605
"terekhova:D16",63,72.3004847833698,2722
"terekhova:D17",56,75.4063922264132,2817
"terekhova:D18",63,67.6700250641235,743
"terekhova:D19",61,76.4273313669908,1111
"terekhova:D20",61,78.5134375565155,1349
"terekhova:D21",62,70.8626446854646,1248
"terekhova:D22",64,68.954136972255,1280
"terekhova:D23",64,73.7410666359639,2205
"terekhova:D24",63,63.1315576588733,814
"terekhova:E01",72,87.7483256662806,748
"terekhova:E02",75,81.0292920237091,1805
"terekhova:E03",70,80.0550299074673,1468
"terekhova:E04",70,65.107081152544,2866
"terekhova:E05",66,76.8764018998623,4361
"terekhova:E06",66,71.1427976286585,1871
"terekhova:E07",80,80.4560564749007,973
"terekhova:E08",67,72.8367662967039,3516
"terekhova:E09",66,75.6625980591111,2315
"terekhova:E10",66,77.654399316251,6627
"terekhova:E11",71,71.1125396379013,5186
"terekhova:E12",80,67.62933460653,812
"terekhova:E13",79,63.4300068992509,2357
"terekhova:E14",71,71.7084452373854,4196
"terekhova:E15",78,81.4488762455035,1559
"terekhova:E16",70,80.0052110966281,6201
"terekhova:E18",66,73.8996963335096,1690
"terekhova:E19",77,80.0811221572258,1814
"terekhova:E20",74,74.1374516017697,3987
"terekhova:E21",71,77.1303142403491,3388
"terekhova:E22",75,79.0629437723849,2880
"terekhova:E23",71,71.9811655835226,6166
"terekhova:E24",72,73.0668529327701,3064
"terekhova:E26",73,76.4233039855159,524
"terekhova:E27",65,76.5385862167103,1246
"terekhova:E29",74,75.9122250185247,2321
"terekhova:E30",72,79.5495222507698,1413
"terekhova:FA01",34,60.3865291307229,151
"terekhova:FA02",31,72.9441299971016,1084
"terekhova:FA03",30,59.4101888841163,948
"terekhova:FA04",35,67.1782215677352,1572
"terekhova:FA05",27,54.8404228789436,872
"terekhova:FA06",33,64.1519515226336,461
"terekhova:FA07",30,57.4545143326558,1161
"terekhova:FA08",26,63.2399053635266,738
"terekhova:FB01",44,61.3791197701747,750
"terekhova:FB02",39,58.7049178539046,498
"terekhova:FB03",36,60.9777881583091,1416
"terekhova:FB04",37,53.7463624864783,1070
"terekhova:FB05",35,60.3258984601974,845
"terekhova:FB06",37,64.0363307077166,1794
"terekhova:FB07",36,65.173011440715,710
"terekhova:FC01",52,62.2979995465303,631
"terekhova:FC02",49,70.468248563536,2264
"terekhova:FC03",53,69.776788081805,1537
"terekhova:FC04",51,71.5503628930273,1716
"terekhova:FC06",50,77.7974349016442,2490
"terekhova:FD01",58,74.7529572195706,2196
"terekhova:FD02",55,75.2977774320773,1193
"terekhova:FD03",60,58.179582099812,1632
"terekhova:FD04",57,79.3250244538008,1441
"terekhova:FD05",56,67.8921168658615,959
"terekhova:FD06",55,69.555226853632,800
"terekhova:FE01",80,83.1344056552199,1738
"terekhova:FE02",79,72.7806388487071,2813
"terekhova:FE03",73,70.7755174999988,504
"terekhova:FE04",74,79.0378925919509,5742
"terekhova:FE05",73,58.8059131054378,685
"terekhova:FE06",78,76.7953102960829,623
"terekhova:FE07",71,72.4151320727313,1349
"terekhova:FE08",68,76.9820244103325,930
"terekhova:FE09",76,74.7294140226891,1764
"terekhova:FE10",69,85.3695744786194,610
