"donor_id","true_age","predicted_age","n_cells_aggregated"
"onek1k:1000_1001",73,17.35226877638,141
"onek1k:1001_1002",57,54.3690248459445,117
"onek1k:1002_1003",73,39.1900786997303,126
"onek1k:1003_1004",58,-0.277020764267852,149
"onek1k:1004_1005",74,30.1488478052507,145
"onek1k:1005_1006",66,40.560886643473,89
"onek1k:1006_1007",73,25.9600892898053,78
"onek1k:1007_1008",75,33.68316750708,51
"onek1k:1008_1009",71,39.38996415683,261
"onek1k:1009_1010",72,56.6915698673473,82
"onek1k:1010_1011",71,93.0829725393854,122
"onek1k:1011_1012",67,53.8808831105072,258
"onek1k:1012_1013",70,28.3362031866669,155
"onek1k:1014_1015",70,19.3809409583571,194
"onek1k:1015_1016",67,26.2235482856869,110
"onek1k:1016_1017",68,36.2946955215706,146
"onek1k:1018_1019",68,38.3782422261247,213
"onek1k:1019_1020",69,86.8657477331278,12
"onek1k:101_101",71,36.5848206200935,175
"onek1k:1020_1021",80,57.2520847292673,121
"onek1k:1021_1022",75,46.1840684603869,151
"onek1k:1022_1023",68,32.6644061978419,52
"onek1k:1023_1024",60,29.0177326650321,180
"onek1k:1024_1025",70,69.4869370199873,176
"onek1k:1025_1026",57,47.2524204076142,198
"onek1k:1026_1027",75,23.3479838426241,136
"onek1k:1027_1028",70,57.1989470413108,91
"onek1k:1028_1029",72,21.6465742830455,129
"onek1k:1029_1030",72,32.5098352400574,33
"onek1k:102_102",23,27.7628694166982,113
"onek1k:1030_1031",60,20.5227604963159,68
"onek1k:1031_1032",72,37.5418927698614,48
"onek1k:1032_1033",59,19.7313001495889,75
"onek1k:1033_1034",61,5.05534245760718,62
"onek1k:1034_1035",64,47.7044002272451,61
"onek1k:1035_1036",70,39.7609831942409,98
"onek1k:1036_1037",78,40.987441329634,89
"onek1k:1037_1038",58,38.6573402389985,88
"onek1k:1038_1039",61,34.2234341314636,127
"onek1k:1039_1040",75,43.182840102867,52
"onek1k:1040_1041",72,14.0216963932249,125
"onek1k:1041_1042",72,26.7277881125784,108
"onek1k:1042_1043",57,37.6079972588456,144
"onek1k:1043_1044",71,28.6421344336015,71
"onek1k:1044_1045",65,34.1096743385551,114
"onek1k:1045_1046",67,29.2721794009894,134
"onek1k:1046_1047",62,25.6865506577129,106
"onek1k:1047_1048",71,33.9031390742578,105
"onek1k:1048_1049",64,52.0443106874657,118
"onek1k:1049_1050",61,40.2932909864318,113
"onek1k:104_104",57,-7.07110997832846,124
"onek1k:1050_1051",57,34.4954513194298,64
"onek1k:1051_1052",63,48.2995203018093,153
"onek1k:1052_1053",75,36.3769859411171,96
"onek1k:1053_1054",62,24.1731812101574,81
"onek1k:1054_1055",75,53.3419037633026,54
"onek1k:1055_1056",71,65.132161736347,85
"onek1k:1056_1057",68,44.1625477725823,120
"onek1k:1057_1058",71,35.3014971418991,69
"onek1k:1058_1059",60,64.1327038301798,97
