"donor_id","true_age","predicted_age","n_cells_aggregated"
"terekhova:A01",31,36.9821372430719,230
"terekhova:A02",29,26.9953913078759,349
"terekhova:A03",34,36.6093118237971,1026
"terekhova:A04",31,46.4949295687105,696
"terekhova:A05",30,58.4243915544283,360
"terekhova:A06",28,40.8430113977274,634
"terekhova:A07",30,28.9942693948776,834
"terekhova:A08",28,36.6181065593771,695
"terekhova:A09",35,50.0988946180831,327
"terekhova:A10",28,44.0519385572117,193
"terekhova:A11",30,47.6173018641013,1131
"terekhova:A12",27,52.7530521416411,341
"terekhova:A13",33,54.2957452345802,679
"terekhova:A14",29,40.8547509226075,354
"terekhova:A15",26,52.2297394319402,334
"terekhova:A16",29,36.1302455212925,309
"terekhova:A17",30,38.1955791666145,663
"terekhova:A18",29,46.6133699428956,538
"terekhova:A19",30,34.6756608537243,181
"terekhova:A20",27,59.9916082056358,427
"terekhova:A21",27,38.7495527764469,1273
"terekhova:A22",29,35.5837898914563,365
"terekhova:A23",27,49.5146854392701,872
"terekhova:A24",27,47.6838343637247,652
"terekhova:A25",34,39.7326451412631,298
"terekhova:A26",28,45.6085440881703,553
"terekhova:A27",28,45.7046822769759,974
"terekhova:A28",25,34.302093676536,448
"terekhova:A29",33,34.8291065065162,540
"terekhova:A30",33,43.4683821151673,153
"terekhova:A31",31,45.3908964978166,437
"terekhova:A33",31,42.8289281348556,881
"terekhova:A34",28,39.9431403500202,424
"terekhova:A35",33,37.8197167889892,172
"terekhova:A36",33,44.8634460744762,626
"terekhova:A37",26,36.6250544157756,411
"terekhova:A38",28,33.3721952757634,473
"terekhova:A40",30,40.8871844368869,200
"terekhova:A41",34,42.5663406041671,924
"terekhova:B01",44,54.2530448521964,358
"terekhova:B02",42,27.4781209924039,179
"terekhova:B03",37,58.764760381991,228
"terekhova:B04",36,44.941185398563,812
"terekhova:B05",44,44.1754098821386,292
"terekhova:B06",44,30.2372556171085,528
"terekhova:B08",44,57.6471557408411,137
"terekhova:B09",36,47.4202223870586,194
"terekhova:B10",44,37.438204409411,371
"terekhova:B11",37,34.3138903708447,568
"terekhova:B12",35,45.1354697356563,321
"terekhova:B13",35,44.8422008577563,1138
"terekhova:B14",38,39.6300769508003,240
"terekhova:B15",35,38.9493614272766,404
"terekhova:B16",44,47.0999724152826,328
"terekhova:B17",40,49.7025576873547,539
"terekhova:B18",39,39.0110407742744,753
"terekhova:B19",41,40.9130510914067,285
"terekhova:B20",41,50.2340357690906,686
"terekhova:B21",35,79.6077869141518,136
"terekhova:B22",36,42.0886334224322,417
"terekhova:B23",39,39.2306256339949,336
"terekhova:B24",36,49.4860589592019,289
"terekhova:C01",53,46.0280087943485,532
"terekhova:C02",53,-3.22021603282646,5
"terekhova:C04",51,40.1642932914537,499
"terekhova:C05",49,38.0999761254817,347
"terekhova:C06",46,54.9224759289278,284
"terekhova:C07",53,48.1751822041205,456
"terekhova:C08",51,55.4993110528247,542
"terekhova:C09",55,43.0880408250929,536
"terekhova:C10",52,38.5943148441645,384
"terekhova:C11",51,58.6177814037187,1002
"terekhova:C12",55,56.0873651528411,321
"terekhova:C13",50,42.8005932078369,1611
"terekhova:C14",48,59.044014751831,207
"terekhova:C15",49,45.2322142428556,834
"terekhova:C16",48,58.7177272203293,125
"terekhova:C17",54,64.6005128579588,44
"terekhova:C18",54,48.6292593675005,288
"terekhova:D01",58,69.2765356014259,119
"terekhova:D02",59,53.8852022693863,917
"terekhova:D03",63,56.1763834306295,377
"terekhova:D04",61,52.3256246980579,481
"terekhova:D05",63,67.1326010316206,261
"terekhova:D06",60,46.6558734200301,346
"terekhova:D07",58,67.1608345843913,202
"terekhova:D08",63,33.6314468014176,249
"terekhova:D09",61,59.7897686969633,426
"terekhova:D10",59,73.0943950306742,254
"terekhova:D11",62,40.632314439273,583
"terekhova:D12",63,55.5941276106882,326
"terekhova:D13",59,54.6429906405747,618
"terekhova:D14",61,53.469607555027,978
"terekhova:D15",64,62.920167972095,48
"terekhova:D16",63,44.0757856632409,229
"terekhova:D17",56,49.1838835438092,437
"terekhova:D18",63,63.4875351973371,220
"terekhova:D19",61,38.6634734334644,483
"terekhova:D20",61,65.9500642407549,263
"terekhova:D21",62,32.0445693190141,235
"terekhova:D22",64,63.6751105696936,278
"terekhova:D23",64,31.3133917732018,562
"terekhova:D24",63,43.1254093949038,265
"terekhova:E01",72,52.7071218355248,122
"terekhova:E02",75,38.3821525340537,219
"terekhova:E03",70,51.6789333270259,121
"terekhova:E04",70,41.4170019901987,628
"terekhova:E05",66,49.5746710043327,1655
"terekhova:E06",66,18.7011001316234,183
"terekhova:E07",80,27.9112725262513,458
"terekhova:E08",67,57.6199528870927,347
"terekhova:E09",66,60.1267089158643,522
"terekhova:E10",66,56.9265756034405,564
"terekhova:E11",71,35.0128324302331,173
"terekhova:E12",80,60.5714253668136,189
"terekhova:E13",79,43.0777668713342,604
"terekhova:E14",71,41.8739946044619,220
"terekhova:E15",78,62.1780052304698,648
"terekhova:E16",70,65.7995050256535,411
"terekhova:E18",66,42.268601085606,721
"terekhova:E19",77,64.215105342502,291
"terekhova:E20",74,43.4248744114293,320
"terekhova:E21",71,64.8700451652757,448
"terekhova:E22",75,44.95676687835,1598
"terekhova:E23",71,45.9540442245182,499
"terekhova:E24",72,42.6554239344411,792
"terekhova:E26",73,57.5033254069805,292
"terekhova:E27",65,60.8152370187977,258
"terekhova:E29",74,36.5270580444332,75
"terekhova:E30",72,43.3449020751926,302
"terekhova:FA01",34,39.12360089606,285
"terekhova:FA02",31,34.9806187675695,498
"terekhova:FA03",30,42.5260167283396,599
"terekhova:FA04",35,59.046056707808,298
"terekhova:FA05",27,33.1329648021016,290
"terekhova:FA06",33,34.8508204177659,217
"terekhova:FA07",30,29.1563619484409,304
"terekhova:FA08",26,31.890558300259,184
"terekhova:FB01",44,41.76500153822,455
"terekhova:FB02",39,41.0837235428109,295
"terekhova:FB03",36,24.2770607512424,82
"terekhova:FB04",37,34.8034340988481,522
"terekhova:FB05",35,39.2197482893915,192
"terekhova:FB06",37,18.3671509351906,89
"terekhova:FB07",36,87.790885045222,54
"terekhova:FC01",52,49.4799456091237,248
"terekhova:FC02",49,52.3033440011612,319
"terekhova:FC03",53,43.180931805374,281
"terekhova:FC04",51,67.2769481201467,159
"terekhova:FC06",50,66.629377337051,175
"terekhova:FD01",58,56.5762701706261,345
"terekhova:FD02",55,63.7982431526237,110
"terekhova:FD03",60,32.2804133729605,427
"terekhova:FD04",57,53.5506269504636,538
"terekhova:FD05",56,44.5703436440502,118
"terekhova:FD06",55,46.8183452235229,112
"terekhova:FE01",80,47.1851360026524,973
"terekhova:FE02",79,52.4069700193947,434
"terekhova:FE03",73,61.8619704780283,478
"terekhova:FE04",74,48.7692102863309,258
"terekhova:FE05",73,38.0430301747538,162
"terekhova:FE06",78,50.5099134313472,244
"terekhova:FE07",71,54.1582751826893,592
"terekhova:FE08",68,47.8744805576545,344
"terekhova:FE09",76,55.0402275714893,265
"terekhova:FE10",69,69.4717658845735,318
