"donor_id","true_age","predicted_age","n_cells_aggregated"
"terekhova:A01",31,35.1131013298256,3017
"terekhova:A02",29,50.6703253273821,4338
"terekhova:A03",34,46.6005600391307,7394
"terekhova:A04",31,59.3411388627008,8642
"terekhova:A05",30,49.5111937460329,4462
"terekhova:A06",28,32.9782433645998,4422
"terekhova:A07",30,44.1988828915659,7774
"terekhova:A08",28,48.3691042844208,6309
"terekhova:A09",35,51.1089229312235,8696
"terekhova:A10",28,44.396094754483,4727
"terekhova:A11",30,40.2789010854746,7941
"terekhova:A12",27,47.5809816328503,3746
"terekhova:A13",33,54.3573717478867,7060
"terekhova:A14",29,48.1786220334988,4748
"terekhova:A15",26,48.5406639495179,5991
"terekhova:A16",29,48.3476385641407,6112
"terekhova:A17",30,42.9555159878249,7113
"terekhova:A18",29,38.9487492826935,9651
"terekhova:A19",30,44.5921202389155,7049
"terekhova:A20",27,27.3029049374291,7606
"terekhova:A21",27,34.1687054459167,7232
"terekhova:A22",29,45.5145069506199,2731
"terekhova:A23",27,44.1953755011673,9275
"terekhova:A24",27,42.4142695117725,9015
"terekhova:A25",34,59.154409562677,2901
"terekhova:A26",28,42.7856048228021,10078
"terekhova:A27",28,41.9805676455245,7462
"terekhova:A28",25,38.5994699404902,5275
"terekhova:A29",33,43.0913367195995,6402
"terekhova:A30",33,44.2759135609398,2496
"terekhova:A31",31,35.8997302542921,4723
"terekhova:A33",31,42.8982609506791,9401
"terekhova:A34",28,47.1644917313641,2962
"terekhova:A35",33,50.4050543491986,3336
"terekhova:A36",33,47.2618544374001,4173
"terekhova:A37",26,30.4511345540915,2264
"terekhova:A38",28,47.1055599076369,4668
"terekhova:A40",30,26.8298918655045,2734
"terekhova:A41",34,57.1111196307501,5755
"terekhova:B01",44,46.8939688016645,3151
"terekhova:B02",42,49.67677191921,2284
"terekhova:B03",37,55.6742384475123,2491
"terekhova:B04",36,34.3172466073047,7533
"terekhova:B05",44,47.5524578793535,3429
"terekhova:B06",44,52.1078453103615,5094
"terekhova:B08",44,51.417300006508,7434
"terekhova:B09",36,48.2524623465557,3096
"terekhova:B10",44,49.3987317501271,6938
"terekhova:B11",37,50.5321377066709,6659
"terekhova:B12",35,49.2836126767067,6315
"terekhova:B13",35,61.1130447210736,6015
"terekhova:B14",38,56.0626091421526,2185
"terekhova:B15",35,51.0519499876134,2436
"terekhova:B16",44,42.9058579143839,7389
"terekhova:B17",40,56.9504291483976,7182
"terekhova:B18",39,47.982995789682,6771
"terekhova:B19",41,43.813358004432,2764
"terekhova:B20",41,48.9934166068762,10187
"terekhova:B21",35,44.0823708888364,3688
"terekhova:B22",36,51.3752448027743,4552
"terekhova:B23",39,42.8506736222069,3657
"terekhova:B24",36,51.1300482605197,3832
"terekhova:C01",53,58.9679280755629,11070
"terekhova:C02",53,46.4637401682306,367
"terekhova:C04",51,50.7696997234986,3117
"terekhova:C05",49,57.514143056526,7046
"terekhova:C06",46,61.421083392925,1045
"terekhova:C07",53,53.8434568006556,5953
"terekhova:C08",51,57.1252360803158,5085
