"donor_id","true_age","predicted_age","n_cells_aggregated"
"terekhova:A01",31,39.0635226622211,614
"terekhova:A02",29,28.941451688464,1585
"terekhova:A03",34,36.4859838061209,1709
"terekhova:A04",31,40.6286956968843,3186
"terekhova:A05",30,32.5972963810439,914
"terekhova:A06",28,37.4706177388407,431
"terekhova:A07",30,36.0708366734867,1169
"terekhova:A08",28,31.1538639342916,926
"terekhova:A09",35,49.6204734962203,2512
"terekhova:A10",28,54.9269210134989,1107
"terekhova:A11",30,47.996808028914,1972
"terekhova:A12",27,40.9611507587178,1197
"terekhova:A13",33,51.7307031372573,1817
"terekhova:A14",29,20.4855761524598,963
"terekhova:A15",26,29.0610619378911,875
"terekhova:A16",29,46.7748956543403,613
"terekhova:A17",30,38.0856325337775,1186
"terekhova:A18",29,41.8386002047861,2339
"terekhova:A19",30,36.2126302504577,864
"terekhova:A20",27,40.1907777040322,2409
"terekhova:A21",27,40.6218168812374,1470
"terekhova:A22",29,37.2227146237846,340
"terekhova:A23",27,45.0285471292043,1987
"terekhova:A24",27,35.8673423162564,1565
"terekhova:A25",34,39.3306718219867,353
"terekhova:A26",28,35.9718715720066,3301
"terekhova:A27",28,41.6996086712184,2468
"terekhova:A28",25,31.2407805902604,494
"terekhova:A29",33,40.0822096300809,1321
"terekhova:A30",33,40.766778263039,352
"terekhova:A31",31,31.676525566411,1726
"terekhova:A33",31,42.4364462233768,957
"terekhova:A34",28,30.7322923714965,459
"terekhova:A35",33,39.1471787745894,745
"terekhova:A36",33,45.3095730329146,1189
"terekhova:A37",26,39.3510278459635,798
"terekhova:A38",28,44.597402623819,1240
"terekhova:A40",30,48.2621084500497,373
"terekhova:A41",34,40.8082951500299,832
"terekhova:B01",44,28.6979391844543,1432
"terekhova:B02",42,17.6600650490592,350
"terekhova:B03",37,41.7568561872249,707
"terekhova:B04",36,37.8853565578874,584
"terekhova:B05",44,32.5294014434668,1140
"terekhova:B06",44,36.5442207506047,959
"terekhova:B08",44,45.8222590959919,1801
"terekhova:B09",36,49.4053060508226,879
"terekhova:B10",44,38.4585044577475,1160
"terekhova:B11",37,43.7843704424494,443
"terekhova:B12",35,51.1577892689792,775
"terekhova:B13",35,50.3532880774202,1775
"terekhova:B14",38,35.771166415895,322
"terekhova:B15",35,41.9918239539262,411
"terekhova:B16",44,29.5149331969942,1030
"terekhova:B17",40,47.3492872290947,2074
"terekhova:B18",39,47.1315387412197,1692
"terekhova:B19",41,39.5893280961757,1106
"terekhova:B20",41,37.6675035758282,2786
"terekhova:B21",35,39.0774138575816,823
"terekhova:B22",36,33.3883879470402,560
"terekhova:B23",39,44.9628884131351,1256
"terekhova:B24",36,39.4515449510787,968
"terekhova:C01",53,39.9072272922395,783
"terekhova:C02",53,26.8748001477578,119
"terekhova:C04",51,42.1831539320575,680
"terekhova:C05",49,53.0903520201666,1282
"terekhova:C06",46,45.8076370406169,322
"terekhova:C07",53,35.5348762486083,1277
"terekhova:C08",51,51.5178213150463,373
"terekhova:C09",55,49.3518154996236,2409
"terekhova:C10",52,52.7542542865479,2524
"terekhova:C11",51,47.8128686837358,2484
"terekhova:C12",55,33.3761675164901,1351
"terekhova:C13",50,47.2412096155411,2596
"terekhova:C14",48,63.8715605138496,634
"terekhova:C15",49,34.4435826056591,1577
"terekhova:C16",48,40.7250284179247,1000
"terekhova:C17",54,40.9407629929056,966
"terekhova:C18",54,52.8848901746449,750
"terekhova:D01",58,37.0512001281577,883
"terekhova:D02",59,42.2955801046776,4707
"terekhova:D03",63,50.5693192254604,1945
"terekhova:D04",61,53.0396915611611,1789
"terekhova:D05",63,50.7890570042219,3118
"terekhova:D06",60,59.6622801432662,1491
"terekhova:D07",58,44.4291581897974,525
"terekhova:D08",63,42.6633867879265,2734
"terekhova:D09",61,52.425621321372,1505
"terekhova:D10",59,42.9598331186664,311
"terekhova:D11",62,43.0665592777788,1025
"terekhova:D12",63,45.5694824147627,2452
"terekhova:D13",59,38.6958769269149,1713
"terekhova:D14",61,53.3211467530179,2066
"terekhova:D15",64,34.7152380060617,532
"terekhova:D16",63,52.0894914613871,1271
"terekhova:D17",56,43.1863542861981,862
"terekhova:D18",63,42.1487943989796,219
"terekhova:D19",61,31.9374949755884,224
"terekhova:D20",61,30.4284632391525,516
"terekhova:D21",62,32.2114662908522,740
"terekhova:D22",64,25.2355861510499,245
"terekhova:D23",64,52.1477637794068,1255
"terekhova:D24",63,45.4396896420906,297
"terekhova:E01",72,37.7561612137447,956
"terekhova:E02",75,55.7707705197611,820
"terekhova:E03",70,53.6213792953366,1062
"terekhova:E04",70,35.2199750902307,2610
"terekhova:E05",66,46.5755382462091,2156
"terekhova:E06",66,44.6552718227251,1774
"terekhova:E07",80,45.8943309221981,324
"terekhova:E08",67,47.1596109103044,1637
"terekhova:E09",66,33.3984723311392,1017
"terekhova:E10",66,51.3697512440822,1615
"terekhova:E11",71,47.3714048179683,6329
"terekhova:E12",80,39.7871028167535,1174
"terekhova:E13",79,45.4338020573377,1523
"terekhova:E14",71,52.9939853034264,2976
"terekhova:E15",78,69.6682398755693,2543
"terekhova:E16",70,38.3301975375952,3567
"terekhova:E18",66,45.0473850150193,2386
"terekhova:E19",77,58.0004387978421,1092
"terekhova:E20",74,42.3303001539899,1256
"terekhova:E21",71,50.61786883673,959
"terekhova:E22",75,44.1202770489994,2229
"terekhova:E23",71,51.8013642220225,3226
"terekhova:E24",72,39.7430497686759,1894
"terekhova:E26",73,103.373638768281,9
"terekhova:E27",65,33.9284095735541,330
"terekhova:E29",74,47.7951277462599,1131
"terekhova:E30",72,50.4690044377698,505
"terekhova:FA01",34,46.3017936361458,134
"terekhova:FA02",31,20.339357634832,467
"terekhova:FA03",30,24.7059985535205,420
"terekhova:FA04",35,32.1263796032845,842
"terekhova:FA05",27,53.0927781030993,448
"terekhova:FA06",33,32.8302309101382,352
"terekhova:FA07",30,29.358134403208,2126
"terekhova:FA08",26,28.0676556633133,266
"terekhova:FB01",44,31.8455901189693,1131
"terekhova:FB02",39,25.4414108296524,339
"terekhova:FB03",36,51.2156630997495,281
"terekhova:FB04",37,33.1514783263309,1168
"terekhova:FB05",35,40.8477798877348,456
"terekhova:FB06",37,25.2215913121305,1383
"terekhova:FB07",36,21.89009753255,195
"terekhova:FC01",52,38.0606192871563,365
"terekhova:FC02",49,42.1349891387235,724
"terekhova:FC03",53,53.759094212478,614
"terekhova:FC04",51,48.5913279637917,210
"terekhova:FC06",50,28.8414510763915,903
"terekhova:FD01",58,37.9197236849075,933
"terekhova:FD02",55,42.0423322107063,823
"terekhova:FD03",60,27.3647092638859,971
"terekhova:FD04",57,35.9013946651463,660
"terekhova:FD05",56,49.1302917598135,1134
"terekhova:FD06",55,38.4200798639347,346
"terekhova:FE01",80,59.0231636459671,2529
"terekhova:FE02",79,42.1685827665117,2039
"terekhova:FE03",73,52.9518011363455,1290
"terekhova:FE04",74,42.6435749419615,2484
"terekhova:FE05",73,33.6936557956213,169
"terekhova:FE06",78,54.2207115440628,677
"terekhova:FE07",71,51.3790724820429,681
