donor_id,true_age,predicted_age,predicted_age_sd,n_cells,pseudocell_n
stephenson:C-8937,55.0,70.42316775124345,7.269382299859267,1215,100
stephenson:IVLPS-4,25.0,38.36843657350479,7.589778766282483,70,100
stephenson:C-8946,45.0,39.75427192258807,10.624736234330165,1208,100
stephenson:C-8940,35.0,58.546249465221905,8.60766109375575,1960,100
stephenson:IVLPS-12,25.0,38.68029426200119,10.130676420102017,394,100
stephenson:IVLPS-6,25.0,47.30648761041951,8.138871552602387,892,100
stephenson:C-8943,25.0,46.47969880370628,7.700282988232793,2391,100
stephenson:C-8928,55.0,40.537479323237896,8.700660973725853,948,100
stephenson:C-8941,55.0,70.02473015261971,7.859654818397518,660,100
stephenson:C-8938,25.0,51.53673109005772,9.971110299979477,666,100
stephenson:C-8930,35.0,61.42189646795743,7.182312763529948,1359,100
stephenson:C-8936,55.0,67.51375040901937,9.159989152152379,2546,100
stephenson:C-8942,35.0,40.99064937263572,9.857679476770977,1063,100
stephenson:CV0904,38.0,37.819411328035834,6.80639189045309,1024,100
stephenson:CV0902,57.0,46.741157746118304,8.646272131453172,680,100
stephenson:CV0911,40.0,43.87223963855438,7.571650764138134,298,100
stephenson:CV0929,64.0,71.52070180458878,5.720131758871216,233,100
stephenson:CV0915,44.0,47.621535670321364,7.225974566700667,129,100
stephenson:CV0917,62.0,65.75591883522469,7.512769620689962,364,100
stephenson:CV0939,73.0,66.25193389862172,6.46135121571696,202,100
stephenson:CV0926,70.0,64.29785825720678,7.258931640790999,139,100
stephenson:CV0934,21.0,30.609422435772476,8.120805139410582,777,100
stephenson:CV0940,63.0,75.77001273244792,6.38955591422163,1097,100
stephenson:CV0944,58.0,67.64979122769373,7.269677026225897,95,100
