donor_id,true_age,predicted_age,predicted_age_sd,n_cells,pseudocell_n
terekhova:A23,27.0,49.28851609673151,8.646540414463322,872,100
terekhova:E15,78.0,47.33658643384828,11.027861919927318,648,100
terekhova:E07,80.0,52.29402216078938,9.522595397969946,458,100
terekhova:E13,79.0,47.94264352252529,9.053202387343463,604,100
terekhova:A20,27.0,48.096389977494574,9.147620723795958,427,100
terekhova:A15,26.0,42.24599074594855,9.164747107877345,334,100
terekhova:C01,53.0,47.07146172408819,9.082941094432478,532,100
terekhova:B01,44.0,45.758446877332524,8.650408330077893,358,100
terekhova:A01,31.0,45.54027429832142,8.502554278453664,230,100
terekhova:E01,72.0,45.10801369362464,9.65615149639673,122,100
terekhova:A02,29.0,51.27795402804172,9.258999914183176,349,100
terekhova:D01,58.0,51.81852586875033,9.108973395873713,119,100
terekhova:E02,75.0,43.119005755597094,9.115436828548352,219,100
terekhova:A03,34.0,43.418214885199475,9.165284211211251,1026,100
terekhova:B03,37.0,43.1926063010624,6.424037052439727,228,100
terekhova:D02,59.0,41.18608393848195,9.734199162315262,917,100
terekhova:B05,44.0,39.29848859423867,8.249205744584197,292,100
terekhova:C08,51.0,51.65810845584907,9.029021348664436,542,100
terekhova:D03,63.0,37.550934437906264,8.911195059096851,377,100
terekhova:C10,52.0,49.99237358134492,9.148627719885456,384,100
terekhova:B06,44.0,48.20682744182998,10.134164007834563,528,100
terekhova:E03,70.0,45.237421068911225,8.318600932311242,121,100
terekhova:C09,55.0,44.89299870198558,8.610057310845198,536,100
terekhova:A04,31.0,48.238908515107106,10.130134318842101,696,100
terekhova:C11,51.0,39.038375587832434,9.261037833979161,1002,100
terekhova:D05,63.0,42.707874308635226,10.377938238603218,261,100
terekhova:A05,30.0,45.31737611351605,9.435281825759036,360,100
terekhova:D04,61.0,41.84941501729232,9.159800942247804,481,100
terekhova:E04,70.0,44.4648720158109,8.58442556728264,628,100
terekhova:B08,44.0,44.8956686248694,9.05046192464492,137,100
terekhova:E05,66.0,46.7955486797579,9.177244082667418,1655,100
terekhova:B02,42.0,42.979221082983976,10.032103888232431,179,100
terekhova:C02,53.0,39.77590434686934,13.591007859321165,5,100
terekhova:B04,36.0,40.93345124221145,9.084730475650291,812,100
terekhova:C04,51.0,46.79243456528722,9.842332900475238,499,100
terekhova:E06,66.0,45.040658702836275,8.877481776130463,183,100
terekhova:E09,66.0,55.151676643421936,9.351473223633215,522,100
terekhova:C06,46.0,36.54507927719829,10.406525462328606,284,100
terekhova:C05,49.0,34.20928118047727,8.735412541120567,347,100
terekhova:FA01,34.0,47.00949601350454,9.81987450118865,285,100
terekhova:C12,55.0,42.745565224402974,8.611137472708734,321,100
