donor_id,true_age,predicted_age,predicted_age_sd,n_cells,pseudocell_n
terekhova:A23,27.0,45.30693137458693,8.616229198710839,4786,100
terekhova:E13,79.0,75.49080842641703,8.111252938865974,3349,100
terekhova:A02,29.0,40.962626958672736,7.2450626471192825,1440,100
terekhova:C01,53.0,45.3374528527423,7.495979336754962,1199,100
terekhova:E01,72.0,53.75673530414405,6.57666379700452,460,100
terekhova:B03,37.0,45.708013494355804,9.288335402409267,1481,100
terekhova:B06,44.0,50.86362123783649,8.474350646338408,1342,100
terekhova:C10,52.0,62.31003739424884,8.351101900554147,1884,100
terekhova:C09,55.0,48.22588873933617,8.45008793814174,1191,100
terekhova:D04,61.0,56.17407075386252,7.73333224650598,3014,100
terekhova:A05,30.0,38.24170557824828,8.59116344606132,1992,100
terekhova:B08,44.0,33.56352185828208,8.923201999778174,2248,100
terekhova:A01,30.0,38.70713429631242,8.234544324881398,1177,100
terekhova:E04,69.0,64.01288285934733,7.8754126041488455,984,100
terekhova:D01,56.0,67.33982351815287,7.95598443325395,1564,100
terekhova:E05,66.0,57.82325242148393,7.363351397606606,1576,100
terekhova:B04,36.0,30.59463984300258,8.756538634412426,2698,100
terekhova:B05,43.0,38.49887014809959,9.435718920441802,575,100
terekhova:A03,33.0,37.66489175306477,9.048141973254568,2039,100
terekhova:C05,49.0,60.53201508415838,6.733003422359845,4533,100
terekhova:E07,79.0,67.60783976345199,7.817330094579424,1039,100
terekhova:C12,55.0,50.51801338982941,8.695868221143797,2386,100
terekhova:FA01,34.0,46.343862889005166,8.551850702214963,530,100
terekhova:FE02,79.0,67.44122544332227,7.226840955513223,1271,100
terekhova:FB01,44.0,55.59747194231783,7.226264329047831,968,100
terekhova:D05,64.0,69.9638784183516,6.952762950795669,8039,100
terekhova:A06,27.0,38.98421464560885,7.1143428867023415,1314,100
terekhova:C07,53.0,50.40983282012747,9.322971152941653,2322,100
terekhova:FB03,36.0,60.816092749009485,7.482582192062545,1682,100
terekhova:A07,31.0,44.399858947061965,8.549627396097046,2107,100
terekhova:FB02,40.0,48.20956406388202,8.486514439108744,1019,100
terekhova:A09,35.0,43.17681766494657,8.709676046479323,2053,100
terekhova:FE04,74.0,40.98778929799928,8.14458773728911,1428,100
terekhova:D08,63.0,64.80904066869633,6.339597697039769,2075,100
terekhova:E10,66.0,46.664297698382406,9.12207312465391,1338,100
terekhova:D09,61.0,66.20720435763062,6.7311248021925625,3941,100
terekhova:A08,28.0,36.78434742053797,8.263662958048842,2462,100
terekhova:B11,37.0,37.936417029093555,8.574270041224596,2838,100
terekhova:FC02,49.0,37.62472062802826,8.29339927743971,2506,100
terekhova:D11,63.0,58.85269649227945,8.564136300393686,2722,100
terekhova:E14,71.0,65.51939647835141,7.321492192023879,1187,100
terekhova:FA03,30.0,33.702133461471014,8.922701161311661,947,100
terekhova:D12,63.0,60.26956900314949,8.379503052569122,1877,100
terekhova:D13,59.0,40.12251780644194,8.403802859212298,1984,100
terekhova:B12,35.0,46.491133310471476,9.23595917047587,3462,100
terekhova:A11,28.0,26.813388716304072,7.676126597698887,3122,100
terekhova:A10,28.0,41.7298726441143,8.707736093013544,2209,100
terekhova:D07,58.0,48.54073129022877,8.444903240676778,798,100
terekhova:E16,70.0,65.14486730796948,7.9352748780625655,1955,100
terekhova:B14,38.0,47.68779639721997,8.491139396174862,990,100
terekhova:A12,27.0,35.9157812619399,7.72891411442259,1518,100
terekhova:FC04,51.0,43.342597798829665,8.922524164539473,928,100
terekhova:B15,35.0,40.9718194772526,8.199529864014755,528,100
terekhova:E18,66.0,68.4873666237283,8.6657685736794,2752,100
terekhova:E19,77.0,62.835587121860335,6.227406557088597,734,100
terekhova:B16,44.0,44.33059320978375,7.387292170206759,1943,100
terekhova:E20,74.0,68.8082805404137,7.738837768504216,3023,100
terekhova:D10,59.0,76.33962485785845,6.3574319704729865,2694,100
terekhova:A15,25.0,45.64882583644926,8.737013406304987,6581,100
terekhova:FB04,37.0,49.40675096716295,7.386385765178488,2602,100
terekhova:C15,48.0,48.99353074101075,9.0676374789632,2278,100
terekhova:E21,71.0,62.925524533643426,8.7452459896875,2147,100
terekhova:B10,46.0,58.610976759957666,9.143621127771697,4802,100
terekhova:FB05,35.0,44.77002739706511,8.834267715964481,1443,100
terekhova:FE03,73.0,58.337981186310934,8.019759355994804,1251,100
terekhova:A18,29.0,35.030610085177635,8.472214861356512,2922,100
terekhova:C18,54.0,55.42975708685853,8.171828871608286,872,100
terekhova:B13,38.0,66.43340879387014,7.79011686455792,4565,100
terekhova:FC06,50.0,38.23963243766175,8.873149221075336,644,100
terekhova:D14,60.0,45.74508424794017,8.043082039692502,1595,100
terekhova:D15,64.0,42.59151282005344,7.9507359120252,214,100
terekhova:FB07,36.0,42.40874144593603,9.745611436243586,291,100
terekhova:B18,39.0,52.93441019854797,8.87349520625336,3546,100
terekhova:D16,63.0,60.56807554910876,7.165103075176337,2130,100
terekhova:B20,41.0,41.37783214270349,8.52279659064122,2579,100
terekhova:A22,29.0,44.48235427795888,9.297077225393469,1483,100
terekhova:A20,26.0,23.06105963736409,9.001315954517848,3199,100
terekhova:B17,38.0,36.50853876152205,7.417107952126124,3422,100
terekhova:E23,71.0,71.46652964660366,7.999083576245537,966,100
terekhova:D17,55.0,50.171496259590974,7.689014856960873,2710,100
terekhova:C16,49.0,62.29410488011256,7.606908280860491,3766,100
terekhova:E24,72.0,76.4584341678306,6.560453540223059,1501,100
terekhova:D18,63.0,54.7702630555264,8.309783337009334,1586,100
terekhova:A25,34.0,45.7584775519593,8.03726615059189,1349,100
terekhova:E09,68.0,63.603087351804945,7.5031045060482295,1383,100
terekhova:FD05,56.0,49.567217533255516,8.104088981712865,589,100
terekhova:E26,73.0,70.52600761865982,7.355402860870681,2111,100
terekhova:B22,36.0,37.05561494954078,8.028539912827789,3739,100
terekhova:E30,72.0,77.33348019160131,7.60822306432406,1218,100
terekhova:B23,39.0,38.890193766154255,7.355303208356417,1148,100
terekhova:D19,61.0,59.77716947441851,8.085945248570733,1134,100
terekhova:A28,25.0,46.36325433904818,9.053065090066,1733,100
terekhova:A13,34.0,44.91826033144467,8.689673456602003,2475,100
terekhova:A17,31.0,50.13717630267679,8.399981240807108,2540,100
terekhova:A19,31.0,42.78347708599281,9.013086259618099,1613,100
terekhova:FE06,78.0,70.64987249761715,7.1099088483075485,1061,100
terekhova:FE10,69.0,73.5919162367365,8.037463234974132,1639,100
terekhova:A35,33.0,37.82848331028205,8.140450035304275,835,100
terekhova:A34,28.0,27.63290196199913,7.545424906795227,1504,100
terekhova:FA05,27.0,45.06777208950536,8.654128202521242,1266,100
terekhova:A36,33.0,42.61276670183685,8.250883309028033,1427,100
terekhova:FA06,33.0,43.953152119524695,8.323205028178641,855,100
terekhova:FA07,30.0,49.415510770150384,10.394598298761109,817,100
terekhova:A37,26.0,43.792703941217084,9.377776487127388,841,100
terekhova:A38,28.0,36.56117304846387,8.42959199437691,2323,100
terekhova:A41,34.0,55.318617339621994,8.189350462605603,2621,100
terekhova:A26,29.0,34.257668083348605,7.928269127398079,3708,100
